model,subtype,instance_type,variant,k,n,acc
claude,shortest_path,adversarial,canonical,0,31,0.0
claude,shortest_path,adversarial,W1,11,31,0.355
claude,shortest_path,adversarial,W2,21,31,0.677
claude,shortest_path,adversarial,W3,1,31,0.032
claude,shortest_path,adversarial,W4,30,31,0.968
claude,shortest_path,adversarial,W5,0,29,0.0
claude,shortest_path,adversarial,W6,2,29,0.069
claude,shortest_path,standard,canonical,22,24,0.917
claude,shortest_path,standard,W1,14,24,0.583
claude,shortest_path,standard,W2,16,24,0.667
claude,shortest_path,standard,W3,0,24,0.0
claude,shortest_path,standard,W4,18,24,0.75
claude,shortest_path,standard,W5,0,21,0.0
claude,shortest_path,standard,W6,6,21,0.286
claude,wis,adversarial,canonical,7,30,0.233
claude,wis,adversarial,W1,6,30,0.2
claude,wis,adversarial,W2,5,30,0.167
claude,wis,adversarial,W3,0,30,0.0
claude,wis,adversarial,W4,2,30,0.067
claude,wis,adversarial,W6,0,25,0.0
claude,coin_change,adversarial,canonical,7,10,0.7
claude,coin_change,adversarial,W1,7,10,0.7
claude,coin_change,adversarial,W2,7,10,0.7
claude,coin_change,adversarial,W3,6,10,0.6
claude,coin_change,adversarial,W4,8,10,0.8
claude,coin_change,standard,canonical,4,15,0.267
claude,coin_change,standard,W1,7,15,0.467
claude,coin_change,standard,W2,1,15,0.067
claude,coin_change,standard,W3,3,15,0.2
claude,coin_change,standard,W4,10,15,0.667
claude,coin_change,standard,W6,1,15,0.067
gpt4o,shortest_path,adversarial,canonical,18,31,0.581
gpt4o,shortest_path,adversarial,W1,19,31,0.613
gpt4o,shortest_path,adversarial,W2,2,31,0.065
gpt4o,shortest_path,adversarial,W3,12,31,0.387
gpt4o,shortest_path,adversarial,W4,19,31,0.613
gpt4o,shortest_path,adversarial,W5,0,29,0.0
gpt4o,shortest_path,adversarial,W6,9,29,0.31
gpt4o,shortest_path,standard,canonical,11,24,0.458
gpt4o,shortest_path,standard,W1,13,24,0.542
gpt4o,shortest_path,standard,W2,4,24,0.167
gpt4o,shortest_path,standard,W3,6,24,0.25
gpt4o,shortest_path,standard,W4,12,24,0.5
gpt4o,shortest_path,standard,W5,0,21,0.0
gpt4o,shortest_path,standard,W6,6,21,0.286
gpt4o,wis,adversarial,canonical,8,30,0.267
gpt4o,wis,adversarial,W1,6,30,0.2
gpt4o,wis,adversarial,W2,0,30,0.0
gpt4o,wis,adversarial,W3,0,30,0.0
gpt4o,wis,adversarial,W4,0,30,0.0
gpt4o,wis,adversarial,W6,0,25,0.0
gpt4o,coin_change,adversarial,canonical,6,10,0.6
gpt4o,coin_change,adversarial,W1,4,10,0.4
gpt4o,coin_change,adversarial,W2,6,10,0.6
gpt4o,coin_change,adversarial,W3,0,10,0.0
