model,subtype,variant_type,metric_name,metric_value,ci_lower,ci_upper
anthropic/claude-sonnet-4,coin_change,W1,VAR,0.56,0.36,0.76
anthropic/claude-sonnet-4,coin_change,W2,VAR,0.32,0.12,0.52
anthropic/claude-sonnet-4,coin_change,W3,VAR,0.36,0.16,0.56
anthropic/claude-sonnet-4,coin_change,W4,VAR,0.72,0.52,0.88
anthropic/claude-sonnet-4,coin_change,W6,VAR,0.06666666666666667,0.0,0.2
anthropic/claude-sonnet-4,coin_change,canonical,VAR,0.44,0.24,0.64
anthropic/claude-sonnet-4,shortest_path,W1,VAR,0.45454545454545453,0.32727272727272727,0.5818181818181818
anthropic/claude-sonnet-4,shortest_path,W2,VAR,0.6727272727272727,0.5454545454545454,0.7822727272727207
anthropic/claude-sonnet-4,shortest_path,W3,VAR,0.01818181818181818,0.0,0.05454545454545454
anthropic/claude-sonnet-4,shortest_path,W4,VAR,0.8727272727272727,0.7818181818181819,0.9454545454545454
anthropic/claude-sonnet-4,shortest_path,W5,VAR,0.0,0.0,0.0
anthropic/claude-sonnet-4,shortest_path,W6,VAR,0.16,0.06,0.26
anthropic/claude-sonnet-4,shortest_path,canonical,VAR,0.4,0.2727272727272727,0.5272727272727272
anthropic/claude-sonnet-4,wis,W1,VAR,0.2,0.06666666666666667,0.3333333333333333
anthropic/claude-sonnet-4,wis,W2,VAR,0.16666666666666666,0.03333333333333333,0.3
anthropic/claude-sonnet-4,wis,W3,VAR,0.0,0.0,0.0
anthropic/claude-sonnet-4,wis,W4,VAR,0.06666666666666667,0.0,0.16666666666666666
anthropic/claude-sonnet-4,wis,W6,VAR,0.0,0.0,0.0
anthropic/claude-sonnet-4,wis,canonical,VAR,0.23333333333333334,0.1,0.4
meta-llama/llama-3.1-8b-instruct,coin_change,W1,VAR,0.08,0.0,0.2
meta-llama/llama-3.1-8b-instruct,coin_change,W2,VAR,0.2,0.04,0.36
meta-llama/llama-3.1-8b-instruct,coin_change,W3,VAR,0.0,0.0,0.0
meta-llama/llama-3.1-8b-instruct,coin_change,W4,VAR,0.08,0.0,0.2
meta-llama/llama-3.1-8b-instruct,coin_change,W6,VAR,0.06666666666666667,0.0,0.2
meta-llama/llama-3.1-8b-instruct,coin_change,canonical,VAR,0.08,0.0,0.2
meta-llama/llama-3.1-8b-instruct,shortest_path,W1,VAR,0.12727272727272726,0.05454545454545454,0.21818181818181817
meta-llama/llama-3.1-8b-instruct,shortest_path,W2,VAR,0.01818181818181818,0.0,0.05454545454545454
meta-llama/llama-3.1-8b-instruct,shortest_path,W3,VAR,0.0,0.0,0.0
meta-llama/llama-3.1-8b-instruct,shortest_path,W4,VAR,0.10909090909090909,0.03636363636363636,0.2
meta-llama/llama-3.1-8b-instruct,shortest_path,W5,VAR,0.0,0.0,0.0
meta-llama/llama-3.1-8b-instruct,shortest_path,W6,VAR,0.08,0.02,0.16
meta-llama/llama-3.1-8b-instruct,shortest_path,canonical,VAR,0.03636363636363636,0.0,0.09090909090909091
meta-llama/llama-3.1-8b-instruct,wis,W1,VAR,0.0,0.0,0.0
meta-llama/llama-3.1-8b-instruct,wis,W2,VAR,0.0,0.0,0.0
meta-llama/llama-3.1-8b-instruct,wis,W3,VAR,0.06666666666666667,0.0,0.16666666666666666
meta-llama/llama-3.1-8b-instruct,wis,W4,VAR,0.0,0.0,0.0
meta-llama/llama-3.1-8b-instruct,wis,W6,VAR,0.0,0.0,0.0
meta-llama/llama-3.1-8b-instruct,wis,canonical,VAR,0.03333333333333333,0.0,0.1
openai/gpt-4o,coin_change,W1,VAR,0.4,0.2,0.6
openai/gpt-4o,coin_change,W2,VAR,0.24,0.08,0.4
openai/gpt-4o,coin_change,W3,VAR,0.28,0.12,0.48
openai/gpt-4o,coin_change,W4,VAR,0.72,0.52,0.88
openai/gpt-4o,coin_change,W6,VAR,0.2,0.0,0.4
openai/gpt-4o,coin_change,canonical,VAR,0.4,0.2,0.6
openai/gpt-4o,shortest_path,W1,VAR,0.5818181818181818,0.45454545454545453,0.7090909090909091
openai/gpt-4o,shortest_path,W2,VAR,0.10909090909090909,0.03636363636363636,0.2
openai/gpt-4o,shortest_path,W3,VAR,0.36363636363636365,0.23636363636363636,0.4909090909090909
openai/gpt-4o,shortest_path,W4,VAR,0.5636363636363636,0.43636363636363634,0.6909090909090909
openai/gpt-4o,shortest_path,W5,VAR,0.0,0.0,0.0
openai/gpt-4o,shortest_path,W6,VAR,0.3,0.18,0.44
openai/gpt-4o,shortest_path,canonical,VAR,0.5454545454545454,0.41818181818181815,0.6727272727272727
openai/gpt-4o,wis,W1,VAR,0.2,0.06666666666666667,0.3333333333333333
openai/gpt-4o,wis,W2,VAR,0.0,0.0,0.0
openai/gpt-4o,wis,W3,VAR,0.0,0.0,0.0
openai/gpt-4o,wis,W4,VAR,0.0,0.0,0.0
openai/gpt-4o,wis,W6,VAR,0.0,0.0,0.0
openai/gpt-4o,wis,canonical,VAR,0.26666666666666666,0.13333333333333333,0.43333333333333335
anthropic/claude-sonnet-4,coin_change,W6,W6_Gap,0.37333333333333335,0.13333333333333336,0.6
anthropic/claude-sonnet-4,shortest_path,W6,W6_Gap,0.24000000000000002,0.0727272727272727,0.4054545454545454
anthropic/claude-sonnet-4,wis,W6,W6_Gap,0.23333333333333334,0.1,0.4
meta-llama/llama-3.1-8b-instruct,coin_change,W6,W6_Gap,0.013333333333333336,-0.16,0.16
