family,model,variant,n_errors,n_INTRUSION,n_PARTIAL_INTRUSION,n_OTHER_ERROR,intrusion_rate,ci_low,ci_high,chance_baseline,intrusion_minus_chance,n_clusters
ALGO,Claude,W3,12,3,3,6,0.25,0.0,0.5454545454545454,0.0,0.25,11
ALGO,GPT-4o,W3,37,2,8,27,0.05405405405405406,0.0,0.19047619047619047,0.0,0.05405405405405406,20
ALGO,Gemini,W3,28,4,1,23,0.14285714285714285,0.027777777777777776,0.3888888888888889,0.0,0.14285714285714285,18
ALGO,Llama,W3,48,0,19,29,0.0,0.0,0.0,0.0,0.0,24
ALGO,o4-mini,W3,21,13,2,6,0.6190476190476191,0.3333333333333333,0.8709677419354839,0.0030721966205837174,0.6159754224270354,16
ALGO,Claude,W6,36,0,5,31,0.0,0.0,0.0,0.0,0.0,15
ALGO,GPT-4o,W6,41,0,10,31,0.0,0.0,0.0,0.0006097560975609756,-0.0006097560975609756,19
ALGO,Gemini,W6,43,0,5,38,0.0,0.0,0.0,0.0,0.0,18
ALGO,Llama,W6,59,0,5,54,0.0,0.0,0.0,0.0,0.0,27
ALGO,o4-mini,W6,26,0,3,23,0.0,0.0,0.0,0.0,0.0,11
BW,Claude,W3,58,0,23,35,0.0,0.0,0.0,0.0,0.0,58
BW,GPT-4o,W3,54,0,20,34,0.0,0.0,0.0,0.0,0.0,54
BW,Gemini,W3,56,0,13,43,0.0,0.0,0.0,0.0,0.0,56
BW,Llama,W3,57,0,15,42,0.0,0.0,0.0,0.0,0.0,57
BW,o4-mini,W3,32,0,3,29,0.0,0.0,0.0,0.0,0.0,32
BW,Claude,W6,48,0,0,48,0.0,0.0,0.0,0.0,0.0,48
BW,GPT-4o,W6,40,0,0,40,0.0,0.0,0.0,0.0,0.0,40
BW,Gemini,W6,48,0,0,48,0.0,0.0,0.0,0.0,0.0,48
BW,Llama,W6,51,0,0,51,0.0,0.0,0.0,0.0,0.0,51
GSM,Claude,W6,6,0,0,6,0.0,0.0,0.0,0.0,0.0,6
GSM,Gemini,W6,1,0,0,1,0.0,0.0,0.0,,,1
GSM,o4-mini,W6,3,0,0,3,0.0,0.0,0.0,0.0,0.0,3
