family,design,is_primary,variants_included,component,variance_raw,ci_low_raw,ci_high_raw,proportion_raw,bernoulli_null_mean,bernoulli_null_ci_low,bernoulli_null_ci_high,variance_corrected,ci_low_corrected,ci_high_corrected,proportion_corrected,mean_fitted_p,mean_bernoulli_p1mp,n_items,n_variants,n_models,n_obs,n_null_sims,n_boot,seed,note
ALGO,max_cells,True,W1|W2|W3|W4|W5|W6|canonical,item,0.005131,0.000497,0.010444,0.0182,0.002104,0.0,0.00753,0.003027,0.0,0.008339,0.0834,0.4256,0.0912,29,7,3,609,1000,500,42,"corrected = max(0, raw − E[VC | Bern(fitted_p)]); fitted_p = LPM projection onto mains+two-ways; CIs from item bootstrap with fixed null floor"
ALGO,max_cells,True,W1|W2|W3|W4|W5|W6|canonical,variant,0.035626,0.025463,0.047751,0.1264,0.027664,0.017515,0.038093,0.007962,0.0,0.020087,0.2194,0.4256,0.0912,29,7,3,609,1000,500,42,"corrected = max(0, raw − E[VC | Bern(fitted_p)]); fitted_p = LPM projection onto mains+two-ways; CIs from item bootstrap with fixed null floor"
ALGO,max_cells,True,W1|W2|W3|W4|W5|W6|canonical,model,0.092179,0.076061,0.108813,0.3271,0.072924,0.057872,0.088348,0.019255,0.003137,0.03589,0.5306,0.4256,0.0912,29,7,3,609,1000,500,42,"corrected = max(0, raw − E[VC | Bern(fitted_p)]); fitted_p = LPM projection onto mains+two-ways; CIs from item bootstrap with fixed null floor"
ALGO,max_cells,True,W1|W2|W3|W4|W5|W6|canonical,item_model,0.004975,0.0,0.015031,0.0177,0.01171,0.004466,0.020316,0.0,0.0,0.003322,0.0,0.4256,0.0912,29,7,3,609,1000,500,42,"corrected = max(0, raw − E[VC | Bern(fitted_p)]); fitted_p = LPM projection onto mains+two-ways; CIs from item bootstrap with fixed null floor"
ALGO,max_cells,True,W1|W2|W3|W4|W5|W6|canonical,variant_model,0.045752,0.039939,0.059023,0.1623,0.039707,0.029232,0.051568,0.006045,0.000232,0.019316,0.1666,0.4256,0.0912,29,7,3,609,1000,500,42,"corrected = max(0, raw − E[VC | Bern(fitted_p)]); fitted_p = LPM projection onto mains+two-ways; CIs from item bootstrap with fixed null floor"
ALGO,max_cells,True,W1|W2|W3|W4|W5|W6|canonical,item_variant,0.00953,0.0,0.019515,0.0338,0.026067,0.015071,0.037679,0.0,0.0,0.0,0.0,0.4256,0.0912,29,7,3,609,1000,500,42,"corrected = max(0, raw − E[VC | Bern(fitted_p)]); fitted_p = LPM projection onto mains+two-ways; CIs from item bootstrap with fixed null floor"
ALGO,max_cells,True,W1|W2|W3|W4|W5|W6|canonical,residual,0.088621,0.07024,0.100961,0.3145,0.09539,0.081378,0.111126,0.0,0.0,0.005571,0.0,0.4256,0.0912,29,7,3,609,1000,500,42,"corrected = max(0, raw − E[VC | Bern(fitted_p)]); fitted_p = LPM projection onto mains+two-ways; CIs from item bootstrap with fixed null floor"
BW,full_7_variants,True,W1|W2|W3|W4|W5|W6|canonical,item,0.000602,0.0,0.00403,0.0024,0.000357,0.0,0.002371,0.000244,0.0,0.003673,0.0091,0.3633,0.1056,47,7,5,1645,1000,500,42,"corrected = max(0, raw − E[VC | Bern(fitted_p)]); fitted_p = LPM projection onto mains+two-ways; CIs from item bootstrap with fixed null floor"
BW,full_7_variants,True,W1|W2|W3|W4|W5|W6|canonical,variant,0.018378,0.014306,0.023323,0.0725,0.013426,0.008865,0.018215,0.004953,0.000881,0.009898,0.1834,0.3633,0.1056,47,7,5,1645,1000,500,42,"corrected = max(0, raw − E[VC | Bern(fitted_p)]); fitted_p = LPM projection onto mains+two-ways; CIs from item bootstrap with fixed null floor"
BW,full_7_variants,True,W1|W2|W3|W4|W5|W6|canonical,model,0.096896,0.090901,0.102919,0.3825,0.076567,0.067177,0.086446,0.020328,0.014333,0.026352,0.7529,0.3633,0.1056,47,7,5,1645,1000,500,42,"corrected = max(0, raw − E[VC | Bern(fitted_p)]); fitted_p = LPM projection onto mains+two-ways; CIs from item bootstrap with fixed null floor"
