family,item_a,item_b,model_solves_a,model_solves_b,orientation,rate_solves_a_on_a,rate_solves_a_on_b,rate_solves_b_on_a,rate_solves_b_on_b,n_solves_a_on_a,n_solves_a_on_b,n_solves_b_on_a,n_solves_b_on_b,leg_a_beyond_noise,leg_b_beyond_noise,leg_a_p_one_sided,leg_b_p_one_sided,leg_a_obs_diff,leg_b_obs_diff,leg_a_noise_q95,leg_b_noise_q95,reliable,tau_hi,tau_lo,min_n_variants
BW,BW_002,BW_E015,deepseek/deepseek-r1-distill-llama-70b,anthropic/claude-sonnet-4,M2_solves_A_fails_B__M1_solves_B_fails_A,0.8571,0.3333,0.2857,0.8333,7,6,7,6,True,True,0.0388,0.0325,0.5238,0.5476,0.4048,0.4286,True,0.6667,0.3333,4
BW,BW_331,BW_E015,deepseek/deepseek-r1-distill-llama-70b,anthropic/claude-sonnet-4,M2_solves_A_fails_B__M1_solves_B_fails_A,0.8571,0.3333,0.2857,0.8333,7,6,7,6,True,True,0.0388,0.0325,0.5238,0.5476,0.4048,0.4286,True,0.6667,0.3333,4
BW,BW_515,BW_E015,google/gemini-2.5-flash,anthropic/claude-sonnet-4,M2_solves_A_fails_B__M1_solves_B_fails_A,0.7143,0.1667,0.2857,0.8333,7,6,7,6,True,True,0.0325,0.0325,0.5476,0.5476,0.4286,0.4286,True,0.6667,0.3333,4
GSM,GSM_008,GSM_049,openai/o4-mini,google/gemini-2.5-flash,M2_solves_A_fails_B__M1_solves_B_fails_A,0.8333,0.2857,0.3333,1.0,6,7,6,7,True,True,0.0325,0.009,0.5476,0.6667,0.4286,0.381,True,0.6667,0.3333,4
GSM,GSM_008,GSM_063,openai/o4-mini,google/gemini-2.5-flash,M2_solves_A_fails_B__M1_solves_B_fails_A,0.8333,0.2857,0.3333,1.0,6,7,6,7,True,True,0.0325,0.009,0.5476,0.6667,0.4286,0.381,True,0.6667,0.3333,4
GSM,GSM_009,GSM_049,openai/o4-mini,anthropic/claude-sonnet-4,M2_solves_A_fails_B__M1_solves_B_fails_A,1.0,0.2857,0.3333,0.8571,6,7,6,7,True,True,0.0047,0.0388,0.7143,0.5238,0.4286,0.4048,True,0.6667,0.3333,4
GSM,GSM_009,GSM_049,openai/o4-mini,google/gemini-2.5-flash,M2_solves_A_fails_B__M1_solves_B_fails_A,1.0,0.2857,0.1667,1.0,6,7,6,7,True,True,0.0047,0.0016,0.7143,0.8333,0.4286,0.4048,True,0.6667,0.3333,4
GSM,GSM_009,GSM_063,openai/o4-mini,anthropic/claude-sonnet-4,M2_solves_A_fails_B__M1_solves_B_fails_A,1.0,0.2857,0.3333,1.0,6,7,6,7,True,True,0.0047,0.009,0.7143,0.6667,0.4286,0.381,True,0.6667,0.3333,4
GSM,GSM_009,GSM_063,openai/o4-mini,google/gemini-2.5-flash,M2_solves_A_fails_B__M1_solves_B_fails_A,1.0,0.2857,0.1667,1.0,6,7,6,7,True,True,0.0047,0.0016,0.7143,0.8333,0.4286,0.4048,True,0.6667,0.3333,4
GSM,GSM_010,GSM_049,openai/o4-mini,google/gemini-2.5-flash,M2_solves_A_fails_B__M1_solves_B_fails_A,1.0,0.2857,0.3333,1.0,6,7,6,7,True,True,0.0047,0.009,0.7143,0.6667,0.4286,0.381,True,0.6667,0.3333,4
GSM,GSM_010,GSM_063,openai/o4-mini,google/gemini-2.5-flash,M2_solves_A_fails_B__M1_solves_B_fails_A,1.0,0.2857,0.3333,1.0,6,7,6,7,True,True,0.0047,0.009,0.7143,0.6667,0.4286,0.381,True,0.6667,0.3333,4
GSM,GSM_011,GSM_049,openai/o4-mini,google/gemini-2.5-flash,M2_solves_A_fails_B__M1_solves_B_fails_A,1.0,0.2857,0.3333,1.0,6,7,6,7,True,True,0.0047,0.009,0.7143,0.6667,0.4286,0.381,True,0.6667,0.3333,4
GSM,GSM_011,GSM_063,openai/o4-mini,google/gemini-2.5-flash,M2_solves_A_fails_B__M1_solves_B_fails_A,1.0,0.2857,0.3333,1.0,6,7,6,7,True,True,0.0047,0.009,0.7143,0.6667,0.4286,0.381,True,0.6667,0.3333,4
GSM,GSM_012,GSM_049,openai/o4-mini,google/gemini-2.5-flash,M2_solves_A_fails_B__M1_solves_B_fails_A,1.0,0.2857,0.3333,1.0,6,7,6,7,True,True,0.0047,0.009,0.7143,0.6667,0.4286,0.381,True,0.6667,0.3333,4
GSM,GSM_012,GSM_063,openai/o4-mini,google/gemini-2.5-flash,M2_solves_A_fails_B__M1_solves_B_fails_A,1.0,0.2857,0.3333,1.0,6,7,6,7,True,True,0.0047,0.009,0.7143,0.6667,0.4286,0.381,True,0.6667,0.3333,4
GSM,GSM_015,GSM_049,openai/o4-mini,google/gemini-2.5-flash,M2_solves_A_fails_B__M1_solves_B_fails_A,1.0,0.2857,0.1667,1.0,6,7,6,7,True,True,0.0047,0.0016,0.7143,0.8333,0.4286,0.4048,True,0.6667,0.3333,4
GSM,GSM_015,GSM_063,openai/o4-mini,google/gemini-2.5-flash,M2_solves_A_fails_B__M1_solves_B_fails_A,1.0,0.2857,0.1667,1.0,6,7,6,7,True,True,0.0047,0.0016,0.7143,0.8333,0.4286,0.4048,True,0.6667,0.3333,4
