model,metric_name,variant_type,contamination_pole,n,metric_value,ci_lower,ci_upper
anthropic/claude-sonnet-4,VAR,W1,high,18,0.8888888888888888,0.7222222222222222,1.0
anthropic/claude-sonnet-4,VAR,W1,medium,26,0.8076923076923077,0.6538461538461539,0.9615384615384616
anthropic/claude-sonnet-4,VAR,W2,high,18,0.7777777777777778,0.5555555555555556,0.9444444444444444
anthropic/claude-sonnet-4,VAR,W2,medium,26,0.7692307692307693,0.6153846153846154,0.9230769230769231
anthropic/claude-sonnet-4,VAR,W3,high,18,0.7777777777777778,0.5555555555555556,0.9444444444444444
anthropic/claude-sonnet-4,VAR,W3,medium,26,0.7307692307692307,0.5384615384615384,0.8846153846153846
anthropic/claude-sonnet-4,VAR,W4,high,18,0.6111111111111112,0.3888888888888889,0.8333333333333334
anthropic/claude-sonnet-4,VAR,W4,medium,26,0.6538461538461539,0.46153846153846156,0.8461538461538461
anthropic/claude-sonnet-4,VAR,W5,high,18,0.8888888888888888,0.7222222222222222,1.0
anthropic/claude-sonnet-4,VAR,W5,medium,26,0.7692307692307693,0.5769230769230769,0.9230769230769231
anthropic/claude-sonnet-4,VAR,W6,high,9,0.8888888888888888,0.6666666666666666,1.0
anthropic/claude-sonnet-4,VAR,W6,medium,15,0.6666666666666666,0.4,0.8666666666666667
anthropic/claude-sonnet-4,VAR,canonical,high,18,0.9444444444444444,0.8333333333333334,1.0
anthropic/claude-sonnet-4,VAR,canonical,medium,26,0.7692307692307693,0.6153846153846154,0.9230769230769231
meta-llama/llama-3.1-8b-instruct,VAR,W1,high,29,0.7931034482758621,0.6551724137931034,0.9310344827586207
meta-llama/llama-3.1-8b-instruct,VAR,W1,medium,11,0.8181818181818182,0.5454545454545454,1.0
meta-llama/llama-3.1-8b-instruct,VAR,W2,high,29,0.27586206896551724,0.13793103448275862,0.4482758620689655
meta-llama/llama-3.1-8b-instruct,VAR,W2,medium,11,0.09090909090909091,0.0,0.2727272727272727
meta-llama/llama-3.1-8b-instruct,VAR,W3,high,29,0.2413793103448276,0.10344827586206896,0.41379310344827586
meta-llama/llama-3.1-8b-instruct,VAR,W3,medium,11,0.09090909090909091,0.0,0.2727272727272727
meta-llama/llama-3.1-8b-instruct,VAR,W4,high,29,0.4827586206896552,0.3103448275862069,0.6551724137931034
meta-llama/llama-3.1-8b-instruct,VAR,W4,medium,11,0.2727272727272727,0.0,0.5454545454545454
meta-llama/llama-3.1-8b-instruct,VAR,W5,high,29,0.034482758620689655,0.0,0.10344827586206896
meta-llama/llama-3.1-8b-instruct,VAR,W5,medium,11,0.09090909090909091,0.0,0.2727272727272727
meta-llama/llama-3.1-8b-instruct,VAR,W6,high,29,0.5862068965517241,0.41379310344827586,0.7586206896551724
meta-llama/llama-3.1-8b-instruct,VAR,W6,medium,11,0.36363636363636365,0.09090909090909091,0.6363636363636364
meta-llama/llama-3.1-8b-instruct,VAR,canonical,high,29,0.7931034482758621,0.6206896551724138,0.9310344827586207
meta-llama/llama-3.1-8b-instruct,VAR,canonical,medium,11,0.9090909090909091,0.7272727272727273,1.0
openai/gpt-4o,VAR,W1,high,29,0.7931034482758621,0.6206896551724138,0.9310344827586207
openai/gpt-4o,VAR,W1,medium,11,0.8181818181818182,0.5454545454545454,1.0
openai/gpt-4o,VAR,W2,high,29,0.5172413793103449,0.3448275862068966,0.6896551724137931
openai/gpt-4o,VAR,W2,medium,11,0.18181818181818182,0.0,0.45454545454545453
openai/gpt-4o,VAR,W3,high,29,0.3793103448275862,0.20689655172413793,0.5517241379310345
openai/gpt-4o,VAR,W3,medium,11,0.2727272727272727,0.0,0.5454545454545454
openai/gpt-4o,VAR,W4,high,29,0.4827586206896552,0.3103448275862069,0.6551724137931034
openai/gpt-4o,VAR,W4,medium,11,0.09090909090909091,0.0,0.2727272727272727
openai/gpt-4o,VAR,W5,high,29,0.4482758620689655,0.27586206896551724,0.6206896551724138
openai/gpt-4o,VAR,W5,medium,11,0.2727272727272727,0.0,0.5454545454545454
openai/gpt-4o,VAR,W6,high,29,0.8275862068965517,0.6896551724137931,0.9655172413793104
openai/gpt-4o,VAR,W6,medium,11,0.8181818181818182,0.5454545454545454,1.0
openai/gpt-4o,VAR,canonical,high,29,0.8275862068965517,0.6896551724137931,0.9655172413793104
openai/gpt-4o,VAR,canonical,medium,11,0.8181818181818182,0.5454545454545454,1.0
anthropic/claude-sonnet-4,W6_Gap,W6,,24,0.09090909090909094,-0.10606060606060608,0.303030303030303
meta-llama/llama-3.1-8b-instruct,W6_Gap,W6,,40,0.29999999999999993,0.09999999999999998,0.5
openai/gpt-4o,W6_Gap,W6,,40,0.0,-0.17499999999999993,0.17499999999999993
