family,model,n,n_clusters,tep_mean,ci_low,ci_high,tep_median,bootstrap,n_boot,seed,source,level,model_full,problem_id,tep,cci,inject_at_step,cluster_id
GSM,Claude,44,44,0.539,0.4102,0.6636,0.6667,cluster_by_problem_id,5000,42,results/raw/GSM_P2_cci.csv,model_summary,,,,,,
GSM,GPT-4o,44,44,0.5985,0.4697,0.7235,0.7084,cluster_by_problem_id,5000,42,results/raw/GSM_P2_cci.csv,model_summary,,,,,,
GSM,Gemini,44,44,0.6515,0.5432,0.7538,0.6667,cluster_by_problem_id,5000,42,results/raw/GSM_P2_cci.csv,model_summary,,,,,,
GSM,Llama,44,44,0.7727,0.6477,0.8865,1.0,cluster_by_problem_id,5000,42,results/raw/GSM_P2_cci.csv,model_summary,,,,,,
GSM,Claude,,,,,,,,,,results/raw/GSM_P2_cci.csv,instance,anthropic/claude-sonnet-4,GSM_001,0.0,0.25,2,GSM_001
GSM,Claude,,,,,,,,,,results/raw/GSM_P2_cci.csv,instance,anthropic/claude-sonnet-4,GSM_002,0.0,0.75,2,GSM_002
GSM,Claude,,,,,,,,,,results/raw/GSM_P2_cci.csv,instance,anthropic/claude-sonnet-4,GSM_003,0.0,0.6,2,GSM_003
GSM,Claude,,,,,,,,,,results/raw/GSM_P2_cci.csv,instance,anthropic/claude-sonnet-4,GSM_004,1.0,0.5,2,GSM_004
GSM,Claude,,,,,,,,,,results/raw/GSM_P2_cci.csv,instance,anthropic/claude-sonnet-4,GSM_005,1.0,0.0,4,GSM_005
GSM,Claude,,,,,,,,,,results/raw/GSM_P2_cci.csv,instance,anthropic/claude-sonnet-4,GSM_006,1.0,0.0,1,GSM_006
GSM,Claude,,,,,,,,,,results/raw/GSM_P2_cci.csv,instance,anthropic/claude-sonnet-4,GSM_007,1.0,0.0,1,GSM_007
GSM,Claude,,,,,,,,,,results/raw/GSM_P2_cci.csv,instance,anthropic/claude-sonnet-4,GSM_008,1.0,0.2857,3,GSM_008
GSM,Claude,,,,,,,,,,results/raw/GSM_P2_cci.csv,instance,anthropic/claude-sonnet-4,GSM_009,1.0,0.0,2,GSM_009
GSM,Claude,,,,,,,,,,results/raw/GSM_P2_cci.csv,instance,anthropic/claude-sonnet-4,GSM_010,0.0,0.1667,3,GSM_010
GSM,Claude,,,,,,,,,,results/raw/GSM_P2_cci.csv,instance,anthropic/claude-sonnet-4,GSM_011,0.6667,0.2,2,GSM_011
GSM,Claude,,,,,,,,,,results/raw/GSM_P2_cci.csv,instance,anthropic/claude-sonnet-4,GSM_012,0.5,0.25,2,GSM_012
GSM,Claude,,,,,,,,,,results/raw/GSM_P2_cci.csv,instance,anthropic/claude-sonnet-4,GSM_013,1.0,0.2857,3,GSM_013
GSM,Claude,,,,,,,,,,results/raw/GSM_P2_cci.csv,instance,anthropic/claude-sonnet-4,GSM_014,1.0,0.5,2,GSM_014
GSM,Claude,,,,,,,,,,results/raw/GSM_P2_cci.csv,instance,anthropic/claude-sonnet-4,GSM_015,0.0,0.0,1,GSM_015
GSM,Claude,,,,,,,,,,results/raw/GSM_P2_cci.csv,instance,anthropic/claude-sonnet-4,GSM_016,0.6,0.2222,4,GSM_016
GSM,Claude,,,,,,,,,,results/raw/GSM_P2_cci.csv,instance,anthropic/claude-sonnet-4,GSM_017,0.7,0.2105,9,GSM_017
GSM,Claude,,,,,,,,,,results/raw/GSM_P2_cci.csv,instance,anthropic/claude-sonnet-4,GSM_018,0.6667,0.2727,5,GSM_018
GSM,Claude,,,,,,,,,,results/raw/GSM_P2_cci.csv,instance,anthropic/claude-sonnet-4,GSM_019,0.6667,0.0909,5,GSM_019
GSM,Claude,,,,,,,,,,results/raw/GSM_P2_cci.csv,instance,anthropic/claude-sonnet-4,GSM_020,0.0,0.7,5,GSM_020
GSM,Claude,,,,,,,,,,results/raw/GSM_P2_cci.csv,instance,anthropic/claude-sonnet-4,GSM_041,1.0,0.75,2,GSM_041
GSM,Claude,,,,,,,,,,results/raw/GSM_P2_cci.csv,instance,anthropic/claude-sonnet-4,GSM_042,0.0,0.3333,1,GSM_042
GSM,Claude,,,,,,,,,,results/raw/GSM_P2_cci.csv,instance,anthropic/claude-sonnet-4,GSM_043,1.0,0.0,1,GSM_043
GSM,Claude,,,,,,,,,,results/raw/GSM_P2_cci.csv,instance,anthropic/claude-sonnet-4,GSM_044,1.0,0.0,1,GSM_044
GSM,Claude,,,,,,,,,,results/raw/GSM_P2_cci.csv,instance,anthropic/claude-sonnet-4,GSM_045,0.3333,0.4,2,GSM_045
GSM,Claude,,,,,,,,,,results/raw/GSM_P2_cci.csv,instance,anthropic/claude-sonnet-4,GSM_046,0.0,0.3333,1,GSM_046
GSM,Claude,,,,,,,,,,results/raw/GSM_P2_cci.csv,instance,anthropic/claude-sonnet-4,GSM_047,1.0,0.3333,3,GSM_047
GSM,Claude,,,,,,,,,,results/raw/GSM_P2_cci.csv,instance,anthropic/claude-sonnet-4,GSM_048,0.3333,0.0,2,GSM_048
GSM,Claude,,,,,,,,,,results/raw/GSM_P2_cci.csv,instance,anthropic/claude-sonnet-4,GSM_049,1.0,0.0,4,GSM_049
GSM,Claude,,,,,,,,,,results/raw/GSM_P2_cci.csv,instance,anthropic/claude-sonnet-4,GSM_050,0.0,0.0,2,GSM_050
GSM,Claude,,,,,,,,,,results/raw/GSM_P2_cci.csv,instance,anthropic/claude-sonnet-4,GSM_051,0.5,0.0,2,GSM_051
GSM,Claude,,,,,,,,,,results/raw/GSM_P2_cci.csv,instance,anthropic/claude-sonnet-4,GSM_052,1.0,0.1429,3,GSM_052
GSM,Claude,,,,,,,,,,results/raw/GSM_P2_cci.csv,instance,anthropic/claude-sonnet-4,GSM_053,0.75,0.25,8,GSM_053
GSM,Claude,,,,,,,,,,results/raw/GSM_P2_cci.csv,instance,anthropic/claude-sonnet-4,GSM_054,0.0,0.2,2,GSM_054
GSM,Claude,,,,,,,,,,results/raw/GSM_P2_cci.csv,instance,anthropic/claude-sonnet-4,GSM_055,0.5,0.0,3,GSM_055
GSM,Claude,,,,,,,,,,results/raw/GSM_P2_cci.csv,instance,anthropic/claude-sonnet-4,GSM_056,1.0,0.2222,4,GSM_056
GSM,Claude,,,,,,,,,,results/raw/GSM_P2_cci.csv,instance,anthropic/claude-sonnet-4,GSM_057,0.0,0.3636,5,GSM_057
GSM,Claude,,,,,,,,,,results/raw/GSM_P2_cci.csv,instance,anthropic/claude-sonnet-4,GSM_058,0.0,0.1429,3,GSM_058
GSM,Claude,,,,,,,,,,results/raw/GSM_P2_cci.csv,instance,anthropic/claude-sonnet-4,GSM_059,0.75,0.25,4,GSM_059
GSM,Claude,,,,,,,,,,results/raw/GSM_P2_cci.csv,instance,anthropic/claude-sonnet-4,GSM_060,0.75,0.2857,3,GSM_060
GSM,Claude,,,,,,,,,,results/raw/GSM_P2_cci.csv,instance,anthropic/claude-sonnet-4,GSM_061,1.0,0.125,4,GSM_061
GSM,Claude,,,,,,,,,,results/raw/GSM_P2_cci.csv,instance,anthropic/claude-sonnet-4,GSM_062,0.0,0.0,1,GSM_062
GSM,Claude,,,,,,,,,,results/raw/GSM_P2_cci.csv,instance,anthropic/claude-sonnet-4,GSM_063,0.0,0.0,1,GSM_063
GSM,Claude,,,,,,,,,,results/raw/GSM_P2_cci.csv,instance,anthropic/claude-sonnet-4,GSM_064,0.0,0.75,2,GSM_064
GSM,GPT-4o,,,,,,,,,,results/raw/GSM_P2_cci.csv,instance,openai/gpt-4o,GSM_001,0.0,0.0,1,GSM_001
GSM,GPT-4o,,,,,,,,,,results/raw/GSM_P2_cci.csv,instance,openai/gpt-4o,GSM_002,0.0,0.0,1,GSM_002
GSM,GPT-4o,,,,,,,,,,results/raw/GSM_P2_cci.csv,instance,openai/gpt-4o,GSM_003,0.5,0.5,2,GSM_003
GSM,GPT-4o,,,,,,,,,,results/raw/GSM_P2_cci.csv,instance,openai/gpt-4o,GSM_004,0.0,0.1429,3,GSM_004
