family,model,n,spearman_rho,ci_low,ci_high,p_value,contamination_column,gap_definition,bootstrap,n_boot,seed
BW,Claude,52,-0.1412,-0.3965,0.1147,0.318,contamination_score,canonical_ok_minus_w6_ok,cluster_by_problem_id,5000,42
BW,GPT-4o,52,-0.1059,-0.3731,0.1704,0.455,contamination_score,canonical_ok_minus_w6_ok,cluster_by_problem_id,5000,42
BW,Gemini,52,-0.0198,-0.3124,0.2843,0.889,contamination_score,canonical_ok_minus_w6_ok,cluster_by_problem_id,5000,42
BW,Llama,52,-0.1768,-0.3377,-0.0234,0.21,contamination_score,canonical_ok_minus_w6_ok,cluster_by_problem_id,5000,42
BW,deepseek/deepseek-r1-distill-llama-70b,36,0.2102,-0.164,0.4998,0.2186,contamination_score,canonical_ok_minus_w6_ok,cluster_by_problem_id,5000,42
BW,o4-mini,52,-0.442,-0.5969,-0.2273,0.001,contamination_score,canonical_ok_minus_w6_ok,cluster_by_problem_id,5000,42
ALGO,Claude,65,-0.3707,-0.5288,-0.1416,0.0024,contamination_score,canonical_ok_minus_w6_ok,cluster_by_clone_family,5000,42
ALGO,GPT-4o,65,-0.0321,-0.5367,0.268,0.7998,contamination_score,canonical_ok_minus_w6_ok,cluster_by_clone_family,5000,42
ALGO,Gemini,61,-0.3908,-0.5385,-0.1295,0.0018,contamination_score,canonical_ok_minus_w6_ok,cluster_by_clone_family,5000,42
ALGO,Llama,65,0.026,-0.1766,0.2454,0.8374,contamination_score,canonical_ok_minus_w6_ok,cluster_by_clone_family,5000,42
ALGO,o4-mini,64,-0.3922,-0.6128,-0.1475,0.0013,contamination_score,canonical_ok_minus_w6_ok,cluster_by_clone_family,5000,42
