subset,model,n_pairs,canonical_accuracy,w6_accuracy,delta_w6_minus_canonical,naming,variant,accuracy
all_valid_pairs,Claude,47,0.17,0.638,0.468,,,
all_valid_pairs,GPT-4o,47,0.085,0.255,0.17,,,
all_valid_pairs,Gemini,47,0.489,0.404,-0.085,,,
all_valid_pairs,Llama,47,0.021,0.021,0.0,,,
all_valid_pairs,o4-mini,47,1.0,1.0,0.0,,,
all_valid_pairs,DeepSeek,47,0.702,0.936,0.234,,,
w6_one_goal_tower,Claude,47,0.17,0.638,0.468,,,
w6_one_goal_tower,GPT-4o,47,0.085,0.255,0.17,,,
w6_one_goal_tower,Gemini,47,0.489,0.404,-0.085,,,
w6_one_goal_tower,Llama,47,0.021,0.021,0.0,,,
w6_one_goal_tower,o4-mini,47,1.0,1.0,0.0,,,
w6_one_goal_tower,DeepSeek,47,0.702,0.936,0.234,,,
matched_naming_convention,Claude,13,0.231,0.308,0.077,,,
matched_naming_convention,GPT-4o,13,0.0,0.154,0.154,,,
matched_naming_convention,Gemini,13,0.385,0.231,-0.154,,,
matched_naming_convention,Llama,13,0.0,0.0,0.0,,,
matched_naming_convention,o4-mini,13,1.0,1.0,0.0,,,
matched_naming_convention,DeepSeek,13,0.923,0.923,0.0,,,
naming_x_variant_2x2,Claude,3,,,,sequential,canonical,0.667
naming_x_variant_2x2,Claude,37,,,,sequential,W6,0.757
naming_x_variant_2x2,Claude,44,,,,scattered,canonical,0.136
naming_x_variant_2x2,Claude,10,,,,scattered,W6,0.2
naming_x_variant_2x2,GPT-4o,3,,,,sequential,canonical,0.0
naming_x_variant_2x2,GPT-4o,37,,,,sequential,W6,0.27
naming_x_variant_2x2,GPT-4o,44,,,,scattered,canonical,0.091
naming_x_variant_2x2,GPT-4o,10,,,,scattered,W6,0.2
naming_x_variant_2x2,Gemini,3,,,,sequential,canonical,0.0
naming_x_variant_2x2,Gemini,37,,,,sequential,W6,0.459
naming_x_variant_2x2,Gemini,44,,,,scattered,canonical,0.523
naming_x_variant_2x2,Gemini,10,,,,scattered,W6,0.2
naming_x_variant_2x2,Llama,3,,,,sequential,canonical,0.0
naming_x_variant_2x2,Llama,37,,,,sequential,W6,0.027
naming_x_variant_2x2,Llama,44,,,,scattered,canonical,0.023
naming_x_variant_2x2,Llama,10,,,,scattered,W6,0.0
naming_x_variant_2x2,o4-mini,3,,,,sequential,canonical,1.0
naming_x_variant_2x2,o4-mini,37,,,,sequential,W6,1.0
naming_x_variant_2x2,o4-mini,44,,,,scattered,canonical,1.0
naming_x_variant_2x2,o4-mini,10,,,,scattered,W6,1.0
naming_x_variant_2x2,DeepSeek,3,,,,sequential,canonical,0.667
naming_x_variant_2x2,DeepSeek,37,,,,sequential,W6,0.946
naming_x_variant_2x2,DeepSeek,44,,,,scattered,canonical,0.705
naming_x_variant_2x2,DeepSeek,10,,,,scattered,W6,0.9
