family,model,n,n_clusters,subset,y,contamination_column,infinigram_max_window,bootstrap,n_boot,seed,difficulty_proxy_name,size_param_name,raw_rho,raw_ci_low,raw_ci_high,raw_p,partial_rho,partial_ci_low,partial_ci_high,partial_p,delta_partial_minus_raw,controls_used,raw_ci_excludes_zero_positive,partial_ci_excludes_zero_positive,verdict,note
GSM,Claude,37,37,canonical_correct_only,w3_retained,contamination_score,8,cluster_by_problem_id,5000,42,n_numeric_literals,token_count_as_size,-0.0892,-0.3722,0.1984,0.5612,-0.1466,-0.4675,0.2357,0.4282,-0.0574,n_numeric_literals|token_count|item_canonical_pass_rate,False,False,not_a_positive_cell,model_canonical_ok omitted (zero variance under N5 canonical_correct_only filter); item_canonical_pass_rate used as accuracy-based difficulty control
GSM,GPT-4o,17,17,canonical_correct_only,w3_retained,contamination_score,8,cluster_by_problem_id,5000,42,n_numeric_literals,token_count_as_size,0.1581,-0.3155,0.5828,0.5365,-0.0469,-0.7077,0.4646,0.8291,-0.205,n_numeric_literals|token_count|item_canonical_pass_rate,False,False,positive_point_attenuated_or_flipped,model_canonical_ok omitted (zero variance under N5 canonical_correct_only filter); item_canonical_pass_rate used as accuracy-based difficulty control
GSM,Gemini,40,40,canonical_correct_only,w3_retained,contamination_score,8,cluster_by_problem_id,5000,42,n_numeric_literals,token_count_as_size,-0.0499,-0.3503,0.2791,0.758,-0.2281,-0.506,0.1131,0.178,-0.1782,n_numeric_literals|token_count|item_canonical_pass_rate,False,False,not_a_positive_cell,model_canonical_ok omitted (zero variance under N5 canonical_correct_only filter); item_canonical_pass_rate used as accuracy-based difficulty control
GSM,Llama,16,16,canonical_correct_only,w3_retained,contamination_score,8,cluster_by_problem_id,5000,42,n_numeric_literals,token_count_as_size,0.1911,-0.2966,0.611,0.4606,0.0443,-0.5859,0.65,0.7714,-0.1467,n_numeric_literals|token_count|item_canonical_pass_rate,False,False,positive_point_attenuated_or_flipped,model_canonical_ok omitted (zero variance under N5 canonical_correct_only filter); item_canonical_pass_rate used as accuracy-based difficulty control
GSM,o4-mini,37,37,canonical_correct_only,w3_retained,contamination_score,8,cluster_by_problem_id,5000,42,n_numeric_literals,token_count_as_size,0.1848,-0.0626,0.4459,0.2628,0.2594,-0.1719,0.6948,0.4888,0.0745,n_numeric_literals|token_count|item_canonical_pass_rate,False,False,not_a_positive_cell,model_canonical_ok omitted (zero variance under N5 canonical_correct_only filter); item_canonical_pass_rate used as accuracy-based difficulty control
ALGO,Claude,68,23,canonical_correct_only,w3_retained,contamination_score,13,cluster_by_clone_family,5000,42,difficulty_numeric,difficulty_numeric_as_size,0.2474,-0.3457,0.668,0.3981,0.5256,-0.1126,0.7844,0.0955,0.2782,difficulty_numeric|token_count|item_canonical_pass_rate,False,False,not_a_positive_cell,model_canonical_ok omitted (zero variance under N5 canonical_correct_only filter); item_canonical_pass_rate used as accuracy-based difficulty control; ALGO size control = difficulty_numeric (bank problem-size parameter); subtype-raw sizes not pooled
ALGO,GPT-4o,43,24,canonical_correct_only,w3_retained,contamination_score,13,cluster_by_clone_family,5000,42,difficulty_numeric,difficulty_numeric_as_size,-0.0283,-0.4137,0.335,0.86,0.0602,-0.3391,0.2121,0.921,0.0885,difficulty_numeric|token_count|item_canonical_pass_rate,False,False,not_a_positive_cell,model_canonical_ok omitted (zero variance under N5 canonical_correct_only filter); item_canonical_pass_rate used as accuracy-based difficulty control; ALGO size control = difficulty_numeric (bank problem-size parameter); subtype-raw sizes not pooled
ALGO,Gemini,51,21,canonical_correct_only,w3_retained,contamination_score,13,cluster_by_clone_family,5000,42,difficulty_numeric,difficulty_numeric_as_size,0.3932,-0.0568,0.5966,0.0756,0.3908,0.0881,0.6194,0.0192,-0.0025,difficulty_numeric|token_count|item_canonical_pass_rate,False,True,partial_positive_emerges_after_controls,model_canonical_ok omitted (zero variance under N5 canonical_correct_only filter); item_canonical_pass_rate used as accuracy-based difficulty control; ALGO size control = difficulty_numeric (bank problem-size parameter); subtype-raw sizes not pooled
ALGO,Llama,5,4,canonical_correct_only,w3_retained,contamination_score,13,cluster_by_clone_family,5000,42,difficulty_numeric,difficulty_numeric_as_size,,,,,,,,,,,False,False,insufficient_variation,insufficient variation in retention or contamination
ALGO,o4-mini,81,37,canonical_correct_only,w3_retained,contamination_score,13,cluster_by_clone_family,5000,42,difficulty_numeric,difficulty_numeric_as_size,0.129,-0.2055,0.4027,0.3661,0.3682,-0.0232,0.751,0.122,0.2392,difficulty_numeric|token_count|item_canonical_pass_rate,False,False,not_a_positive_cell,model_canonical_ok omitted (zero variance under N5 canonical_correct_only filter); item_canonical_pass_rate used as accuracy-based difficulty control; ALGO size control = difficulty_numeric (bank problem-size parameter); subtype-raw sizes not pooled
