config_a,config_b,n_retrieval_a,n_retrieval_b,n_intersection,n_union,jaccard_retrieval_sets
appendix_canonical_0.10_0.67_p75,grid_cci0.10_w3.50_p50,15,74,15,74,0.2027
appendix_canonical_0.10_0.67_p75,grid_cci0.10_w3.50_p75,15,15,15,15,1.0
appendix_canonical_0.10_0.67_p75,grid_cci0.35_w3.50_p50,15,170,15,170,0.0882
appendix_canonical_0.10_0.67_p75,grid_cci0.35_w3.50_p75,15,25,15,25,0.6
appendix_canonical_0.10_0.67_p75,grid_cci0.35_w3.50_p90,15,0,0,15,0.0
appendix_canonical_0.10_0.67_p75,grid_cci0.50_w3.50_p75,15,25,15,25,0.6
appendix_canonical_0.10_0.67_p75,legacy_five_field_AND,15,8,7,16,0.4375
grid_cci0.10_w3.50_p50,grid_cci0.10_w3.50_p75,74,15,15,74,0.2027
grid_cci0.10_w3.50_p50,grid_cci0.35_w3.50_p50,74,170,74,170,0.4353
grid_cci0.10_w3.50_p50,grid_cci0.35_w3.50_p75,74,25,15,84,0.1786
grid_cci0.10_w3.50_p50,grid_cci0.35_w3.50_p90,74,0,0,74,0.0
grid_cci0.10_w3.50_p50,grid_cci0.50_w3.50_p75,74,25,15,84,0.1786
grid_cci0.10_w3.50_p50,legacy_five_field_AND,74,8,7,75,0.0933
grid_cci0.10_w3.50_p75,grid_cci0.35_w3.50_p50,15,170,15,170,0.0882
grid_cci0.10_w3.50_p75,grid_cci0.35_w3.50_p75,15,25,15,25,0.6
grid_cci0.10_w3.50_p75,grid_cci0.35_w3.50_p90,15,0,0,15,0.0
grid_cci0.10_w3.50_p75,grid_cci0.50_w3.50_p75,15,25,15,25,0.6
grid_cci0.10_w3.50_p75,legacy_five_field_AND,15,8,7,16,0.4375
grid_cci0.35_w3.50_p50,grid_cci0.35_w3.50_p75,170,25,25,170,0.1471
grid_cci0.35_w3.50_p50,grid_cci0.35_w3.50_p90,170,0,0,170,0.0
grid_cci0.35_w3.50_p50,grid_cci0.50_w3.50_p75,170,25,25,170,0.1471
grid_cci0.35_w3.50_p50,legacy_five_field_AND,170,8,8,170,0.0471
grid_cci0.35_w3.50_p75,grid_cci0.35_w3.50_p90,25,0,0,25,0.0
grid_cci0.35_w3.50_p75,grid_cci0.50_w3.50_p75,25,25,25,25,1.0
grid_cci0.35_w3.50_p75,legacy_five_field_AND,25,8,8,25,0.32
grid_cci0.35_w3.50_p90,grid_cci0.50_w3.50_p75,0,25,0,25,0.0
grid_cci0.35_w3.50_p90,legacy_five_field_AND,0,8,0,8,0.0
grid_cci0.50_w3.50_p75,legacy_five_field_AND,25,8,8,25,0.32
appendix_canonical_0.10_0.67_p75,appendix_canonical_0.10_0.67_p75,15,15,15,15,1.0
legacy_five_field_AND,legacy_five_field_AND,8,8,8,8,1.0
grid_cci0.10_w3.50_p75,grid_cci0.10_w3.50_p75,15,15,15,15,1.0
grid_cci0.35_w3.50_p75,grid_cci0.35_w3.50_p75,25,25,25,25,1.0
grid_cci0.50_w3.50_p75,grid_cci0.50_w3.50_p75,25,25,25,25,1.0
grid_cci0.35_w3.50_p50,grid_cci0.35_w3.50_p50,170,170,170,170,1.0
grid_cci0.35_w3.50_p90,grid_cci0.35_w3.50_p90,0,0,0,0,1.0
grid_cci0.10_w3.50_p50,grid_cci0.10_w3.50_p50,74,74,74,74,1.0
