model,family,subtype,CAS,CSS,RCS,W6_Gap,VAR_mean,acc_canonical,acc_W1,acc_W2,acc_W3,acc_W4,acc_W5,acc_W6,n_problems
anthropic/claude-sonnet-4,ALGO,coin_change,0.44,0.64,0.23999999760000004,0.37333333333333335,0.64,0.44,0.56,0.32,0.36,0.72,,0.06666666666666667,25
anthropic/claude-sonnet-4,ALGO,shortest_path,0.4,0.9636363636363636,0.39999999599999997,0.24000000000000002,0.9636363636363636,0.4,0.45454545454545453,0.6727272727272727,0.01818181818181818,0.8727272727272727,0.0,0.16,55
anthropic/claude-sonnet-4,ALGO,wis,0.23333333333333334,0.3,0.23333333100000003,0.23333333333333334,0.3,0.23333333333333334,0.2,0.16666666666666666,0.0,0.06666666666666667,,0.0,30
anthropic/claude-sonnet-4,BW,blocksworld,0.2,0.84,0.19999999800000004,-0.46,0.84,0.2,0.08,0.3,0.08,0.02,0.68,0.66,50
anthropic/claude-sonnet-4,BW,mystery_blocksworld,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,15
anthropic/claude-sonnet-4,GSM,gsm_symbolic,0.8181818181818182,0.5681818181818182,0.43181817750000007,0.026515151515151603,0.5681818181818182,0.8181818181818182,0.8409090909090909,0.6818181818181818,0.75,0.6818181818181818,0.8636363636363636,0.7916666666666666,44
meta-llama/llama-3.1-8b-instruct,ALGO,coin_change,0.08,0.32,0.07999999920000002,0.013333333333333336,0.32,0.08,0.08,0.2,0.0,0.08,,0.06666666666666667,25
meta-llama/llama-3.1-8b-instruct,ALGO,shortest_path,0.05454545454545454,0.2727272727272727,0.054545454000000014,-0.02545454545454546,0.2727272727272727,0.05454545454545454,0.12727272727272726,0.01818181818181818,0.0,0.10909090909090909,0.0,0.08,55
meta-llama/llama-3.1-8b-instruct,ALGO,wis,0.03333333333333333,0.06666666666666667,0.03333333300000001,0.03333333333333333,0.06666666666666667,0.03333333333333333,0.0,0.0,0.06666666666666667,0.0,,0.0,30
meta-llama/llama-3.1-8b-instruct,ALGO,,,,,,,,,,,,,0.05,0
meta-llama/llama-3.1-8b-instruct,BW,blocksworld,0.02857142857142857,0.16,0.028571428285714292,-0.01142857142857143,0.16,0.02857142857142857,0.0,0.0,0.2,0.0,0.0,0.04,50
meta-llama/llama-3.1-8b-instruct,BW,mystery_blocksworld,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15
meta-llama/llama-3.1-8b-instruct,GSM,gsm_symbolic,0.7727272727272727,0.8863636363636364,0.7045454475,0.1477272727272727,0.8863636363636364,0.7727272727272727,0.7272727272727273,0.45454545454545453,0.4090909090909091,0.3181818181818182,0.25,0.625,44
openai/gpt-4o,ALGO,coin_change,0.4,0.8,0.3999999960000001,0.2,0.8,0.4,0.4,0.24,0.04,0.72,,0.2,25
openai/gpt-4o,ALGO,shortest_path,0.5272727272727272,0.8,0.509090904,0.22727272727272724,0.8,0.5272727272727272,0.5818181818181818,0.10909090909090909,0.32727272727272727,0.5636363636363636,0.0,0.3,55
openai/gpt-4o,ALGO,wis,0.26666666666666666,0.2,0.26666666400000005,0.26666666666666666,0.2,0.26666666666666666,0.2,0.0,0.0,0.0,,0.0,30
openai/gpt-4o,ALGO,,,,,,,,,,,,,0.3,0
openai/gpt-4o,BW,blocksworld,0.11428571428571428,0.36,0.11428571314285717,-0.16571428571428576,0.36,0.11428571428571428,0.11428571428571428,0.08571428571428572,0.2,0.05714285714285714,0.22857142857142856,0.28,50
openai/gpt-4o,BW,mystery_blocksworld,0.0,0.26666666666666666,0.0,0.0,0.26666666666666666,0.0,0.0,0.0,0.4,0.0,0.0,0.0,15
openai/gpt-4o,GSM,gsm_symbolic,0.8181818181818182,0.6363636363636364,0.5681818125,0.026515151515151603,0.6363636363636364,0.8181818181818182,0.8181818181818182,0.5909090909090909,0.4772727272727273,0.4772727272727273,0.5454545454545454,0.7916666666666666,44
