family,model,phi,phi_ci_low,phi_ci_high,n,n_clusters,cell_ok_ok,cell_ok_fail,cell_fail_ok,cell_fail_fail,acc_canonical,acc_w3,retention_w3
ALGO,Claude,0.6821,0.527,0.8426,100,46,57,11,4,28,0.68,0.61,0.8971
ALGO,GPT-4o,0.5228,0.3251,0.6954,102,48,23,20,4,55,0.4216,0.2647,0.6279
ALGO,Gemini,0.3318,0.1916,0.4938,105,49,23,28,8,46,0.4857,0.2952,0.6078
ALGO,Llama,-0.03,,,109,51,0,5,2,102,0.0459,0.0183,0.4
ALGO,o4-mini,,,,81,37,78,3,0,0,1.0,0.963,0.963
BW,Claude,0.5338,0.3671,0.6894,104,104,31,16,8,49,0.4519,0.375,0.8298
BW,GPT-4o,0.5236,0.3502,0.6797,104,104,22,18,5,59,0.3846,0.2596,0.675
BW,Gemini,0.2652,-0.0035,0.4804,60,60,6,19,2,33,0.4167,0.1333,0.32
BW,Llama,0.4134,0.2169,0.5915,103,103,15,19,6,63,0.3301,0.2039,0.6176
BW,o4-mini,0.4325,0.2865,0.5718,60,60,29,21,0,10,0.8333,0.4833,0.58
GSM,Claude,0.1794,,,44,44,29,8,4,3,0.8409,0.75,0.8919
GSM,GPT-4o,-0.0306,,,20,20,5,12,1,2,0.85,0.3,0.3529
GSM,Gemini,0.0144,,,44,44,21,19,2,2,0.9091,0.5227,0.575
GSM,Llama,0.21,,,20,20,3,13,0,4,0.8,0.15,0.1875
GSM,o4-mini,0.6602,,,44,44,35,2,2,5,0.8409,0.8409,1.0
