model,subtype,instance,W3,canonical,retention
Claude,coin_change,adversarial,0.6,0.7,0.8571428571428572
Claude,coin_change,standard,0.2,0.26666666666666666,0.75
Claude,shortest_path,adversarial,0.0,0.6470588235294118,0.0
Claude,shortest_path,standard,0.047619047619047616,0.0,inf
Claude,wis,adversarial,0.0,0.35294117647058826,0.0
Claude,wis,standard,0.0,0.07692307692307693,0.0
GPT-4o,coin_change,adversarial,0.0,0.6,0.0
GPT-4o,coin_change,standard,0.06666666666666667,0.26666666666666666,0.25
GPT-4o,shortest_path,adversarial,0.2647058823529412,0.4117647058823529,0.6428571428571429
GPT-4o,shortest_path,standard,0.42857142857142855,0.7142857142857143,0.6
GPT-4o,wis,adversarial,0.0,0.35294117647058826,0.0
GPT-4o,wis,standard,0.0,0.15384615384615385,0.0
Gemini-2.5,coin_change,adversarial,0.7,0.5,1.4
Gemini-2.5,coin_change,standard,0.0,0.26666666666666666,0.0
Gemini-2.5,shortest_path,adversarial,0.3235294117647059,0.6764705882352942,0.4782608695652174
Gemini-2.5,shortest_path,standard,0.47619047619047616,0.6190476190476191,0.7692307692307692
Gemini-2.5,wis,adversarial,0.0,0.35294117647058826,0.0
Gemini-2.5,wis,standard,0.0,0.0,
Llama-8B,coin_change,adversarial,0.0,0.2,0.0
Llama-8B,coin_change,standard,0.0,0.0,
Llama-8B,shortest_path,adversarial,0.0,0.058823529411764705,0.0
Llama-8B,shortest_path,standard,0.0,0.047619047619047616,0.0
Llama-8B,wis,adversarial,0.058823529411764705,0.058823529411764705,1.0
Llama-8B,wis,standard,0.07692307692307693,0.0,inf
o4-mini,coin_change,adversarial,1.0,1.0,1.0
o4-mini,coin_change,standard,0.0,0.0,
o4-mini,shortest_path,adversarial,0.058823529411764705,0.08823529411764706,0.6666666666666666
o4-mini,shortest_path,standard,0.09523809523809523,0.09523809523809523,1.0
o4-mini,wis,adversarial,0.0,0.11764705882352941,0.0
o4-mini,wis,standard,0.0,0.23076923076923078,0.0
