family,model,pair,x,y,n,spearman_rho,p_value,corr_eligible
ALGO,Claude,P1_W3_drop vs P2_CCI,p1_w3_drop,p2_cci,61,0.04765734118121311,0.715318375551762,True
ALGO,Claude,P1_W3_drop vs P3_contam,p1_w3_drop,p3_contam,110,-0.1353393881708435,0.15861897584420853,True
ALGO,Claude,P2_CCI vs P3_contam,p2_cci,p3_contam,61,-0.34261535831947165,0.0068739775121626,True
ALGO,Claude,P1_W3_retention vs P2_CCI,p1_w3_retention,p2_cci,35,-0.025619378507035107,0.8838538114827551,True
ALGO,Claude,VRI_gap vs P3_contam,vri_gap,p3_contam,110,-0.0933780661106212,0.3319010709096707,True
ALGO,GPT-4o,P1_W3_drop vs P2_CCI,p1_w3_drop,p2_cci,61,0.1430441346958655,0.2714345368882583,True
ALGO,GPT-4o,P1_W3_drop vs P3_contam,p1_w3_drop,p3_contam,110,-0.0710275431326027,0.46090022923235596,True
ALGO,GPT-4o,P2_CCI vs P3_contam,p2_cci,p3_contam,61,-0.14680642475367542,0.2588960418144012,True
ALGO,GPT-4o,P1_W3_retention vs P2_CCI,p1_w3_retention,p2_cci,26,0.5641344741676718,0.00268400454662734,True
ALGO,GPT-4o,VRI_gap vs P3_contam,vri_gap,p3_contam,110,-0.050260746593163756,0.6020553191631999,True
ALGO,Gemini,P1_W3_drop vs P2_CCI,p1_w3_drop,p2_cci,61,0.05297386868163856,0.6851359764256011,True
ALGO,Gemini,P1_W3_drop vs P3_contam,p1_w3_drop,p3_contam,110,-0.023794733762776778,0.8051053120037708,True
ALGO,Gemini,P2_CCI vs P3_contam,p2_cci,p3_contam,61,-0.14330757474131453,0.2705436084895182,True
ALGO,Gemini,P1_W3_retention vs P2_CCI,p1_w3_retention,p2_cci,34,-0.1747507943788938,0.3229160968585906,True
ALGO,Gemini,VRI_gap vs P3_contam,vri_gap,p3_contam,110,-0.006354424278246634,0.9474693071796849,True
ALGO,Llama,P1_W3_drop vs P2_CCI,p1_w3_drop,p2_cci,61,0.010970168333329238,0.9331282162311154,True
ALGO,Llama,P1_W3_drop vs P3_contam,p1_w3_drop,p3_contam,110,-0.148052250745141,0.12269337058430975,True
ALGO,Llama,P2_CCI vs P3_contam,p2_cci,p3_contam,61,-0.18725874933144657,0.14843012479271717,True
ALGO,Llama,P1_W3_retention vs P2_CCI,p1_w3_retention,p2_cci,5,,,False
ALGO,Llama,VRI_gap vs P3_contam,vri_gap,p3_contam,110,-0.08626583920722765,0.37019926571159567,True
ALGO,o4-mini,P1_W3_drop vs P2_CCI,p1_w3_drop,p2_cci,0,,,False
ALGO,o4-mini,P1_W3_drop vs P3_contam,p1_w3_drop,p3_contam,110,-0.15299343208526708,0.11055854810798896,True
ALGO,o4-mini,P2_CCI vs P3_contam,p2_cci,p3_contam,0,,,False
ALGO,o4-mini,P1_W3_retention vs P2_CCI,p1_w3_retention,p2_cci,0,,,False
ALGO,o4-mini,VRI_gap vs P3_contam,vri_gap,p3_contam,110,-0.15299343208526708,0.11055854810798896,True
BW,Claude,P1_W3_drop vs P2_CCI,p1_w3_drop,p2_cci,8,,,False
BW,Claude,P1_W3_drop vs P3_contam,p1_w3_drop,p3_contam,65,0.3245235478822803,0.008353862775261744,True
BW,Claude,P2_CCI vs P3_contam,p2_cci,p3_contam,8,-0.253546276418555,0.5445820540219957,True
BW,Claude,P1_W3_retention vs P2_CCI,p1_w3_retention,p2_cci,0,,,False
BW,Claude,VRI_gap vs P3_contam,vri_gap,p3_contam,65,-0.06241044977860222,0.6213853211400739,True
BW,GPT-4o,P1_W3_drop vs P2_CCI,p1_w3_drop,p2_cci,10,,,False
BW,GPT-4o,P1_W3_drop vs P3_contam,p1_w3_drop,p3_contam,65,-0.024006326142448325,0.8494524576668271,True
BW,GPT-4o,P2_CCI vs P3_contam,p2_cci,p3_contam,10,,,False
BW,GPT-4o,P1_W3_retention vs P2_CCI,p1_w3_retention,p2_cci,0,,,False
BW,GPT-4o,VRI_gap vs P3_contam,vri_gap,p3_contam,65,-0.0842363341436256,0.5046796068505552,True
BW,Gemini,P1_W3_drop vs P2_CCI,p1_w3_drop,p2_cci,0,,,False
