family,model,variant_a,variant_b,n_overlap,p_b,p_b_given_a,p_a_given_b,lift_b_given_a,agreement_rate,phi_corr
ALGO,Claude,canonical,canonical,110,0.36363636363636365,1.0,1.0,0.6363636363636364,1.0,
ALGO,Claude,canonical,W1,110,0.4090909090909091,0.65,0.5777777777777777,0.2409090909090909,0.7,0.3703939756417449
ALGO,Claude,canonical,W2,110,0.45454545454545453,0.625,0.5,0.17045454545454547,0.6363636363636364,0.25877458475338305
ALGO,Claude,canonical,W3,110,0.09090909090909091,0.15,0.6,0.05909090909090908,0.6545454545454545,0.15537971921347105
ALGO,Claude,canonical,W4,110,0.6181818181818182,0.75,0.4411764705882353,0.13181818181818183,0.5636363636363636,0.2051019910451689
ALGO,Claude,canonical,W5,50,0.0,0.0,,0.0,0.58,
ALGO,Claude,canonical,W6,90,0.1,0.1935483870967742,0.6666666666666666,0.09354838709677418,0.6888888888888889,0.226031980546729
ALGO,Claude,W1,canonical,110,0.36363636363636365,0.5777777777777777,0.65,0.21414141414141408,0.7,0.3703939756417449
ALGO,Claude,W1,W1,110,0.4090909090909091,1.0,1.0,0.5909090909090908,1.0,
ALGO,Claude,W1,W2,110,0.45454545454545453,0.5555555555555556,0.5,0.10101010101010105,0.5909090909090909,0.16878989451394472
ALGO,Claude,W1,W3,110,0.09090909090909091,0.2,0.9,0.1090909090909091,0.6636363636363637,0.3157408869505298
ALGO,Claude,W1,W4,110,0.6181818181818182,0.7777777777777778,0.5147058823529411,0.15959595959595962,0.6090909090909091,0.27332858592724335
ALGO,Claude,W1,W5,50,0.0,0.0,,0.0,0.54,
ALGO,Claude,W1,W6,90,0.1,0.14705882352941177,0.5555555555555556,0.047058823529411764,0.6333333333333333,0.12222646627042819
ALGO,Claude,W2,canonical,110,0.36363636363636365,0.5,0.625,0.13636363636363635,0.6363636363636364,0.25877458475338305
ALGO,Claude,W2,W1,110,0.4090909090909091,0.5,0.5555555555555556,0.09090909090909088,0.5909090909090909,0.16878989451394472
ALGO,Claude,W2,W2,110,0.45454545454545453,1.0,1.0,0.5454545454545454,1.0,
ALGO,Claude,W2,W3,110,0.09090909090909091,0.1,0.5,0.009090909090909094,0.5454545454545454,0.028867513459481322
ALGO,Claude,W2,W4,110,0.6181818181818182,0.86,0.6323529411764706,0.24181818181818182,0.7090909090909091,0.45437236752031157
ALGO,Claude,W2,W5,50,0.0,0.0,,0.0,0.28,
ALGO,Claude,W2,W6,90,0.1,0.1794871794871795,0.7777777777777778,0.07948717948717948,0.6222222222222222,0.23169840682095244
ALGO,Claude,W3,canonical,110,0.36363636363636365,0.6,0.15,0.23636363636363633,0.6545454545454545,0.15537971921347107
ALGO,Claude,W3,W1,110,0.4090909090909091,0.9,0.2,0.4909090909090909,0.6636363636363637,0.3157408869505299
ALGO,Claude,W3,W2,110,0.45454545454545453,0.5,0.1,0.04545454545454547,0.5454545454545454,0.028867513459481322
ALGO,Claude,W3,W3,110,0.09090909090909091,1.0,1.0,0.9090909090909091,1.0,
ALGO,Claude,W3,W4,110,0.6181818181818182,0.8,0.11764705882352941,0.18181818181818188,0.43636363636363634,0.11834526708278786
ALGO,Claude,W3,W5,50,0.0,,,,1.0,
ALGO,Claude,W3,W6,90,0.1,0.0,0.0,-0.1,0.8666666666666667,-0.061898446059016905
ALGO,Claude,W4,canonical,110,0.36363636363636365,0.4411764705882353,0.75,0.07754010695187163,0.5636363636363636,0.2051019910451689
ALGO,Claude,W4,W1,110,0.4090909090909091,0.5147058823529411,0.7777777777777778,0.10561497326203201,0.6090909090909091,0.2733285859272434
ALGO,Claude,W4,W2,110,0.45454545454545453,0.6323529411764706,0.86,0.17780748663101603,0.7090909090909091,0.4543723675203116
ALGO,Claude,W4,W3,110,0.09090909090909091,0.11764705882352941,0.8,0.0267379679144385,0.43636363636363634,0.11834526708278788
ALGO,Claude,W4,W4,110,0.6181818181818182,1.0,1.0,0.38181818181818183,1.0,
ALGO,Claude,W4,W5,50,0.0,0.0,,0.0,0.08,
ALGO,Claude,W4,W6,90,0.1,0.14285714285714285,0.8888888888888888,0.042857142857142844,0.45555555555555555,0.18333969940564235
ALGO,Claude,W5,canonical,50,0.42,,0.0,,0.58,
ALGO,Claude,W5,W1,50,0.46,,0.0,,0.54,
ALGO,Claude,W5,W2,50,0.72,,0.0,,0.28,
ALGO,Claude,W5,W3,50,0.0,,,,1.0,
ALGO,Claude,W5,W4,50,0.92,,0.0,,0.08,
ALGO,Claude,W5,W5,50,0.0,,,,1.0,
ALGO,Claude,W5,W6,50,0.16,,0.0,,0.84,
ALGO,Claude,W6,canonical,90,0.34444444444444444,0.6666666666666666,0.1935483870967742,0.3222222222222222,0.6888888888888889,0.226031980546729
ALGO,Claude,W6,W1,90,0.37777777777777777,0.5555555555555556,0.14705882352941177,0.1777777777777778,0.6333333333333333,0.12222646627042819
ALGO,Claude,W6,W2,90,0.43333333333333335,0.7777777777777778,0.1794871794871795,0.34444444444444444,0.6222222222222222,0.23169840682095244
ALGO,Claude,W6,W3,90,0.03333333333333333,0.0,0.0,-0.03333333333333333,0.8666666666666667,-0.061898446059016905
ALGO,Claude,W6,W4,90,0.6222222222222222,0.8888888888888888,0.14285714285714285,0.2666666666666666,0.45555555555555555,0.18333969940564235
ALGO,Claude,W6,W5,50,0.0,0.0,,0.0,0.84,
ALGO,Claude,W6,W6,90,0.1,1.0,1.0,0.9,1.0,
ALGO,Gemini,canonical,canonical,110,0.4636363636363636,1.0,1.0,0.5363636363636364,1.0,
ALGO,Gemini,canonical,W1,110,0.39090909090909093,0.6078431372549019,0.7209302325581395,0.21693404634581098,0.7090909090909091,0.41334039981538484
ALGO,Gemini,canonical,W2,110,0.3,0.4117647058823529,0.6363636363636364,0.11176470588235293,0.6181818181818182,0.2267535601491351
ALGO,Gemini,canonical,W3,110,0.2545454545454545,0.43137254901960786,0.7857142857142857,0.17682709447415335,0.6818181818181818,0.37741107168119364
ALGO,Gemini,canonical,W4,110,0.43636363636363634,0.6274509803921569,0.6666666666666666,0.1910873440285205,0.6818181818181818,0.3582343511266821
ALGO,Gemini,canonical,W5,50,0.02,0.02857142857142857,1.0,0.00857142857142857,0.32,0.09352195295828249
ALGO,Gemini,canonical,W6,90,0.14444444444444443,0.17777777777777778,0.6153846153846154,0.033333333333333354,0.5333333333333333,0.09482093118615208
ALGO,Gemini,W1,canonical,110,0.4636363636363636,0.7209302325581395,0.6078431372549019,0.25729386892177586,0.7090909090909091,0.41334039981538484
ALGO,Gemini,W1,W1,110,0.39090909090909093,1.0,1.0,0.6090909090909091,1.0,
ALGO,Gemini,W1,W2,110,0.3,0.5813953488372093,0.7575757575757576,0.28139534883720935,0.7636363636363637,0.4919308895222116
ALGO,Gemini,W1,W3,110,0.2545454545454545,0.5348837209302325,0.8214285714285714,0.280338266384778,0.7727272727272727,0.515567998939037
ALGO,Gemini,W1,W4,110,0.43636363636363634,0.7906976744186046,0.7083333333333334,0.35433403805496827,0.7909090909090909,0.5723819392464891
ALGO,Gemini,W1,W5,50,0.02,0.0,0.0,-0.02,0.36,-0.1824761067595731
ALGO,Gemini,W1,W6,90,0.14444444444444443,0.2222222222222222,0.6153846153846154,0.07777777777777778,0.6333333333333333,0.18064892093237842
ALGO,Gemini,W2,canonical,110,0.4636363636363636,0.6363636363636364,0.4117647058823529,0.17272727272727273,0.6181818181818182,0.22675356014913514
