family,model,variant,n,keep,drop,rescue,fail_both,drop_rate_given_canonical_correct,rescue_rate_given_canonical_wrong
ALGO,Claude,W1,110,26,14,19,51,0.35,0.2714285714285714
ALGO,Claude,W2,110,25,15,25,45,0.375,0.35714285714285715
ALGO,Claude,W3,110,6,34,4,66,0.85,0.05714285714285714
ALGO,Claude,W4,110,30,10,38,32,0.25,0.5428571428571428
ALGO,Claude,W5,50,0,21,0,29,1.0,0.0
ALGO,Claude,W6,90,6,25,3,56,0.8064516129032258,0.05084745762711865
ALGO,Gemini,W1,110,31,20,12,47,0.39215686274509803,0.2033898305084746
ALGO,Gemini,W2,110,21,30,12,47,0.5882352941176471,0.2033898305084746
ALGO,Gemini,W3,110,22,29,6,53,0.5686274509803921,0.1016949152542373
ALGO,Gemini,W4,110,32,19,16,43,0.37254901960784315,0.2711864406779661
ALGO,Gemini,W5,50,1,34,0,15,0.9714285714285714,0.0
ALGO,Gemini,W6,90,8,37,5,40,0.8222222222222222,0.1111111111111111
ALGO,Llama,W1,110,1,5,8,96,0.8333333333333334,0.07692307692307693
ALGO,Llama,W2,110,1,5,5,99,0.8333333333333334,0.04807692307692308
ALGO,Llama,W3,110,0,6,2,102,1.0,0.019230769230769232
ALGO,Llama,W4,110,1,5,7,97,0.8333333333333334,0.0673076923076923
ALGO,Llama,W5,50,0,2,0,48,1.0,0.0
ALGO,Llama,W6,90,1,2,4,83,0.6666666666666666,0.04597701149425287
ALGO,mock,W1,1,1,0,0,0,0.0,
ALGO,mock,W2,1,1,0,0,0,0.0,
ALGO,GPT-4o,W1,110,36,11,12,51,0.23404255319148937,0.19047619047619047
ALGO,GPT-4o,W2,110,8,39,4,59,0.8297872340425532,0.06349206349206349
ALGO,GPT-4o,W3,110,17,30,2,61,0.6382978723404256,0.031746031746031744
ALGO,GPT-4o,W4,110,25,22,24,39,0.46808510638297873,0.38095238095238093
ALGO,GPT-4o,W5,50,0,28,0,22,1.0,0.0
ALGO,GPT-4o,W6,90,8,31,10,41,0.7948717948717948,0.19607843137254902
ALGO,o4-mini,W1,110,106,4,0,0,0.03636363636363636,
ALGO,o4-mini,W2,110,28,82,0,0,0.7454545454545455,
ALGO,o4-mini,W3,110,67,43,0,0,0.39090909090909093,
ALGO,o4-mini,W4,110,81,29,0,0,0.2636363636363636,
ALGO,o4-mini,W5,50,2,48,0,0,0.96,
ALGO,o4-mini,W6,90,38,52,0,0,0.5777777777777777,
BW,Claude,W1,65,3,7,1,54,0.7,0.01818181818181818
BW,Claude,W2,65,8,2,7,48,0.2,0.12727272727272726
BW,Claude,W3,65,1,9,8,47,0.9,0.14545454545454545
BW,Claude,W4,65,1,9,0,55,0.9,0.0
BW,Claude,W5,65,7,3,27,28,0.3,0.4909090909090909
BW,Claude,W6,65,5,5,28,27,0.5,0.509090909090909
BW,deepseek/deepseek-r1-distill-llama-70b,W1,49,31,4,2,12,0.11428571428571428,0.14285714285714285
BW,deepseek/deepseek-r1-distill-llama-70b,W2,49,24,11,3,11,0.3142857142857143,0.21428571428571427
BW,deepseek/deepseek-r1-distill-llama-70b,W3,49,4,31,3,11,0.8857142857142857,0.21428571428571427
BW,deepseek/deepseek-r1-distill-llama-70b,W4,49,3,32,1,13,0.9142857142857143,0.07142857142857142
BW,deepseek/deepseek-r1-distill-llama-70b,W5,49,13,22,1,13,0.6285714285714286,0.07142857142857142
BW,deepseek/deepseek-r1-distill-llama-70b,W6,49,33,2,4,10,0.05714285714285714,0.2857142857142857
BW,Gemini,W1,65,5,20,4,36,0.8,0.1
BW,Gemini,W2,65,4,21,3,37,0.84,0.075
BW,Gemini,W3,65,3,22,4,36,0.88,0.1
BW,Gemini,W4,65,1,24,1,39,0.96,0.025
BW,Gemini,W5,65,19,6,18,22,0.24,0.45
BW,Gemini,W6,65,11,14,11,29,0.56,0.275
BW,Llama,W1,65,0,1,2,62,1.0,0.03125
BW,Llama,W2,65,0,1,1,63,1.0,0.015625
BW,Llama,W3,65,0,1,7,57,1.0,0.109375
BW,Llama,W4,65,0,1,0,64,1.0,0.0
BW,Llama,W5,65,0,1,0,64,1.0,0.0
BW,Llama,W6,65,0,1,2,62,1.0,0.03125
