family,probe,model,bank_canonical_n,observed_canonical_n,bank_total_n,observed_total_n,n_errors,canonical_complete,bank_complete,missing_canonical_ids,extra_canonical_ids,missing_pair_count,extra_pair_count,reference_full_n,coverage_label,canonical_expected,canonical_observed,W1_expected,W1_observed,W2_expected,W2_observed,W3_expected,W3_observed,W4_expected,W4_observed,W5_expected,W5_observed,W6_expected,W6_observed,reference_model
GSM,P1,Claude,44,44,288,288,0,True,True,,,0,0.0,44,full_bank,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,24.0,24.0,
GSM,P1,Gemini,44,44,288,288,0,True,True,,,0,0.0,44,full_bank,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,24.0,24.0,
GSM,P1,GPT-4o,44,20,288,120,0,False,False,"GSM_041,GSM_042,GSM_043,GSM_044,GSM_045,GSM_046,GSM_047,GSM_048,GSM_049,GSM_050,GSM_051,GSM_052,GSM_053,GSM_054,GSM_055,GSM_056,GSM_057,GSM_058,GSM_059,GSM_060,GSM_061,GSM_062,GSM_063,GSM_064",,168,0.0,44,partial,44.0,20.0,44.0,20.0,44.0,20.0,44.0,20.0,44.0,20.0,44.0,20.0,24.0,0.0,
GSM,P1,Llama,44,20,288,120,0,False,False,"GSM_041,GSM_042,GSM_043,GSM_044,GSM_045,GSM_046,GSM_047,GSM_048,GSM_049,GSM_050,GSM_051,GSM_052,GSM_053,GSM_054,GSM_055,GSM_056,GSM_057,GSM_058,GSM_059,GSM_060,GSM_061,GSM_062,GSM_063,GSM_064",,168,0.0,44,partial,44.0,20.0,44.0,20.0,44.0,20.0,44.0,20.0,44.0,20.0,44.0,20.0,24.0,0.0,
GSM,P1,o4-mini,44,44,288,288,0,True,True,,,0,0.0,44,full_bank,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,24.0,24.0,
ALGO,P1,Claude,110,110,690,690,0,True,True,,,0,0.0,110,full_bank,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,50.0,50.0,90.0,90.0,
ALGO,P1,Gemini,110,110,690,690,0,True,True,,,0,0.0,110,full_bank,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,50.0,50.0,90.0,90.0,
ALGO,P1,GPT-4o,110,110,690,690,0,True,True,,,0,0.0,110,full_bank,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,50.0,50.0,90.0,90.0,
ALGO,P1,Llama,110,110,690,690,0,True,True,,,0,0.0,110,full_bank,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,50.0,50.0,90.0,90.0,
ALGO,P1,o4-mini,110,110,690,690,0,True,True,,,0,0.0,110,full_bank,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,50.0,50.0,90.0,90.0,
BW,P1,Claude,65,65,455,455,0,True,True,,,0,0.0,65,full_bank,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,
BW,P1,Gemini,65,65,455,455,0,True,True,,,0,0.0,65,full_bank,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,
BW,P1,GPT-4o,65,65,455,455,0,True,True,,,0,0.0,65,full_bank,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,
BW,P1,Llama,65,65,455,455,2,True,True,,,0,0.0,65,full_bank,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,
BW,P1,o4-mini,65,65,455,455,0,True,True,,,0,0.0,65,full_bank,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,
GSM,P2,Claude,44,44,44,44,0,True,True,,,0,,44,full_bank,,,,,,,,,,,,,,,
GSM,P2,Gemini,44,44,44,44,0,True,True,,,0,,44,full_bank,,,,,,,,,,,,,,,
GSM,P2,GPT-4o,44,44,44,44,0,True,True,,,0,,44,full_bank,,,,,,,,,,,,,,,
GSM,P2,Llama,44,44,44,44,0,True,True,,,0,,44,full_bank,,,,,,,,,,,,,,,
GSM,P2,o4-mini,44,44,44,44,0,True,True,,,0,,44,full_bank,,,,,,,,,,,,,,,
ALGO,P2A_normal,Claude,110,110,110,110,0,True,True,,,0,,110,full_bank,,,,,,,,,,,,,,,GPT-4o
ALGO,P2A_normal,Gemini,110,110,110,110,0,True,True,,,0,,110,full_bank,,,,,,,,,,,,,,,GPT-4o
ALGO,P2A_normal,GPT-4o,110,110,110,110,0,True,True,,,0,,110,full_bank,,,,,,,,,,,,,,,GPT-4o
ALGO,P2A_normal,Llama,110,110,110,110,0,True,True,,,0,,110,full_bank,,,,,,,,,,,,,,,GPT-4o
ALGO,P2A_normal,o4-mini,110,110,110,110,0,True,True,,,0,,110,full_bank,,,,,,,,,,,,,,,GPT-4o
ALGO,P2A_elicited,Claude,110,61,110,61,0,False,False,"CC_031,CC_032,CC_033,CC_034,CC_035,CC_036,CC_037,CC_038,CC_039,CC_040,CC_041,CC_042,CC_043,CC_044,CC_045,SP_001,SP_002,SP_031,SP_032,SP_033,SP_034,SP_035,SP_036,SP_049,SP_050,SP_051,SP_052,SP_053,SP_054,SP_055,SP_056,SP_057,SP_058,SP_059,SP_060,SP_061,WIS_001,WIS_002,WIS_005,WIS_006,WIS_007,WIS_009,WIS_010,WIS_012,WIS_021,WIS_022,WIS_030,WIS_031,WIS_032",,49,,110,partial,,,,,,,,,,,,,,,GPT-4o
ALGO,P2A_elicited,Gemini,110,61,110,61,0,False,False,"CC_031,CC_032,CC_033,CC_034,CC_035,CC_036,CC_037,CC_038,CC_039,CC_040,CC_041,CC_042,CC_043,CC_044,CC_045,SP_001,SP_002,SP_031,SP_032,SP_033,SP_034,SP_035,SP_036,SP_049,SP_050,SP_051,SP_052,SP_053,SP_054,SP_055,SP_056,SP_057,SP_058,SP_059,SP_060,SP_061,WIS_001,WIS_002,WIS_005,WIS_006,WIS_007,WIS_009,WIS_010,WIS_012,WIS_021,WIS_022,WIS_030,WIS_031,WIS_032",,49,,110,partial,,,,,,,,,,,,,,,GPT-4o
ALGO,P2A_elicited,GPT-4o,110,110,110,110,0,True,True,,,0,,110,full_bank,,,,,,,,,,,,,,,GPT-4o
ALGO,P2A_elicited,Llama,110,61,110,61,0,False,False,"CC_031,CC_032,CC_033,CC_034,CC_035,CC_036,CC_037,CC_038,CC_039,CC_040,CC_041,CC_042,CC_043,CC_044,CC_045,SP_001,SP_002,SP_031,SP_032,SP_033,SP_034,SP_035,SP_036,SP_049,SP_050,SP_051,SP_052,SP_053,SP_054,SP_055,SP_056,SP_057,SP_058,SP_059,SP_060,SP_061,WIS_001,WIS_002,WIS_005,WIS_006,WIS_007,WIS_009,WIS_010,WIS_012,WIS_021,WIS_022,WIS_030,WIS_031,WIS_032",,49,,110,partial,,,,,,,,,,,,,,,GPT-4o
ALGO,P2A_elicited,o4-mini,110,110,110,110,0,True,True,,,0,,110,full_bank,,,,,,,,,,,,,,,GPT-4o
ALGO,P2B_plausible,Claude,61,61,61,61,0,True,True,,,0,,61,full_bank,,,,,,,,,,,,,,,GPT-4o
ALGO,P2B_plausible,Gemini,61,61,61,61,0,True,True,,,0,,61,full_bank,,,,,,,,,,,,,,,GPT-4o
ALGO,P2B_plausible,GPT-4o,61,61,61,61,0,True,True,,,0,,61,full_bank,,,,,,,,,,,,,,,GPT-4o
ALGO,P2B_plausible,Llama,61,61,61,61,0,True,True,,,0,,61,full_bank,,,,,,,,,,,,,,,GPT-4o
