family,model,n_total,n_tep_valid,corr_eligible,corr_exclude_reason,mean_tep,final_ok_rate,high_tep_final_ok_rate,high_tep_n,spearman_tep_vs_final,spearman_p
ALGO,Claude,61,58,True,,0.15517241379310345,0.5517241379310345,0.45454545454545453,11,-0.09708541627365583,0.4684517774105246
ALGO,GPT-4o,61,61,True,,0.22896174863387977,0.5573770491803278,0.4444444444444444,18,-0.204077864790973,0.11466272390836864
ALGO,Gemini,61,61,True,,0.18306010928961747,0.3114754098360656,0.23076923076923078,13,-0.0732298971430458,0.5748892867294133
ALGO,Llama,61,61,True,,0.5896174863387978,0.22950819672131148,0.15384615384615385,39,-0.17960962965984814,0.16603166517781962
ALGO,o4-mini,61,61,True,,0.3442622950819672,0.4426229508196721,0.35714285714285715,28,-0.01240148750329054,0.9244272003685063
BW,Claude,177,47,False,final_ok_constant,0.06382978723404255,0.0,0.0,3,,
BW,GPT-4o,180,13,False,tep_constant,0.0,0.0,,0,,
BW,Llama,179,8,False,final_ok_constant,0.625,0.0,0.0,5,,
GSM,Claude,44,44,True,,0.5390159090909091,0.8636363636363636,0.8518518518518519,27,-0.09558619460332683,0.5370963836901028
GSM,GPT-4o,44,44,True,,0.5984863636363635,0.7045454545454546,0.8333333333333334,30,0.37364918503251765,0.012476200403648025
GSM,Gemini,44,44,True,,0.6515136363636364,0.8863636363636364,0.8787878787878788,33,-0.07098682698139443,0.647027094594367
GSM,Llama,44,44,True,,0.7727272727272727,0.45454545454545453,0.5142857142857142,35,0.260655402913854,0.08746976266923866
GSM,o4-mini,44,44,True,,0.6367136363636363,0.9545454545454546,0.9333333333333333,30,-0.23226956062265122,0.12922068868152464
