legacy_bucket,v2_bucket,n,pct
ambiguous,insufficient,121,0.22
ambiguous,mixed,6,0.01090909090909091
ambiguous,strong,35,0.06363636363636363
ambiguous,weak,43,0.07818181818181819
mixed,insufficient,4,0.007272727272727273
mixed,mixed,13,0.023636363636363636
mixed,strong,56,0.10181818181818182
mixed,weak,42,0.07636363636363637
other,insufficient,32,0.05818181818181818
other,mixed,20,0.03636363636363636
other,strong,114,0.20727272727272728
other,weak,54,0.09818181818181818
strong,strong,10,0.01818181818181818
