legacy_label,tri_v2_label,n,pct_of_overlap
ambiguous,computation,22,0.04
ambiguous,insufficient,121,0.22
ambiguous,mixed,6,0.01090909090909091
ambiguous,retrieval,13,0.023636363636363636
ambiguous,weak_computation,16,0.02909090909090909
ambiguous,weak_retrieval,27,0.04909090909090909
computation_signal,computation,4,0.007272727272727273
mixed,computation,47,0.08545454545454545
mixed,insufficient,4,0.007272727272727273
mixed,mixed,13,0.023636363636363636
mixed,retrieval,9,0.016363636363636365
mixed,weak_computation,22,0.04
mixed,weak_retrieval,20,0.03636363636363636
retrieval_signal,retrieval,6,0.01090909090909091
,computation,85,0.15454545454545454
,insufficient,32,0.05818181818181818
,mixed,20,0.03636363636363636
,retrieval,29,0.05272727272727273
,weak_computation,21,0.038181818181818185
,weak_retrieval,33,0.06
