family,model,subtype,vri,acc_w3,acc_canonical,n_problems
ALGO,claude-sonnet-4,coin_change,0.17333333333333334,0.36,0.44,25
ALGO,claude-sonnet-4,shortest_path,0.6484848484848486,0.0181818181818181,0.4,55
ALGO,claude-sonnet-4,wis,0.1444444444444444,0.0,0.2333333333333333,30
BW,claude-sonnet-4,blocksworld,0.05333333333333333,0.08,0.2,50
BW,claude-sonnet-4,mystery_blocksworld,-0.3333333333333333,0.3333333333333333,0.0,15
GSM,claude-sonnet-4,gsm_symbolic,-0.015151515151515138,0.75,0.8181818181818182,44
ALGO,llama-3.1-8b-instruct,coin_change,0.12000000000000001,0.0,0.08,25
ALGO,llama-3.1-8b-instruct,shortest_path,0.08484848484848477,0.0,0.0545454545454545,55
ALGO,llama-3.1-8b-instruct,wis,-0.0666666666666666,0.0666666666666666,0.0333333333333333,30
ALGO,llama-3.1-8b-instruct,,,,,0
BW,llama-3.1-8b-instruct,blocksworld,-0.2,0.2,0.0285714285714285,50
BW,llama-3.1-8b-instruct,mystery_blocksworld,0.0,0.0,0.0,15
GSM,llama-3.1-8b-instruct,gsm_symbolic,0.09090909090909083,0.4090909090909091,0.7727272727272727,44
ALGO,gpt-4o,coin_change,0.41333333333333333,0.04,0.4,25
ALGO,gpt-4o,shortest_path,0.09090909090909094,0.3272727272727272,0.5272727272727272,55
ALGO,gpt-4o,wis,0.06666666666666667,0.0,0.2666666666666666,30
ALGO,gpt-4o,,,,,0
BW,gpt-4o,blocksworld,-0.11428571428571434,0.2,0.1142857142857142,50
BW,gpt-4o,mystery_blocksworld,-0.4,0.4,0.0,15
GSM,gpt-4o,gsm_symbolic,0.1515151515151515,0.4772727272727273,0.8181818181818182,44
