subtype,model,n_problems,spearman_size_vs_renamedrop,p_value
wis,claude,30,-0.46747465918440784,0.009194512865168087
wis,gpt4o,30,-0.33771721783400516,0.06797076905457572
wis,llama,30,-0.14692049640592686,0.4384924904029759
wis,gemini,30,-0.501112799306079,0.004790369468680546
coin_change,claude,10,-0.29565619799454135,0.406882622383516
coin_change,gpt4o,10,-0.570436680315239,0.08507807359256744
coin_change,llama,10,-0.33101246229447345,0.3501684790591716
coin_change,gemini,10,-0.19976892461280504,0.5800312786282311
shortest_path,claude,31,-0.05721015214361544,0.759838233171337
shortest_path,gpt4o,31,-0.2694985013244047,0.142613934930731
shortest_path,llama,31,-0.013500088449145102,0.9425385720551642
shortest_path,gemini,31,0.4323320105763481,0.01514297916231198
