family,model,acc_canonical,acc_W1,acc_W2,acc_W3,acc_W4,acc_W5,acc_W6,R_W3,W6_minus_W3
ALGO,anthropic/claude-sonnet-4,0.36363636363636365,0.4090909090909091,0.45454545454545453,0.09090909090909091,0.6181818181818182,0.0,0.1,0.25,0.009090909090909094
ALGO,google/gemini-2.5-flash,0.10909090909090909,0.39090909090909093,0.3,0.2545454545454545,0.43636363636363634,0.02,0.14444444444444443,2.333333333333333,-0.11010101010101009
ALGO,meta-llama/llama-3.1-8b-instruct,0.05454545454545454,0.08181818181818182,0.05454545454545454,0.01818181818181818,0.07272727272727272,0.0,0.05555555555555555,0.3333333333333333,0.03737373737373737
ALGO,openai/gpt-4o,0.42727272727272725,0.43636363636363634,0.10909090909090909,0.17272727272727273,0.44545454545454544,0.0,0.2,0.4042553191489362,0.027272727272727282
ALGO,openai/o4-mini,1.0,0.95,0.95,0.7,0.85,,,0.7,
BW,anthropic/claude-sonnet-4,0.15384615384615385,0.06153846153846154,0.23076923076923078,0.13846153846153847,0.015384615384615385,0.5230769230769231,0.5076923076923077,0.9,0.3692307692307692
BW,google/gemini-2.5-flash,0.38461538461538464,0.13846153846153847,0.1076923076923077,0.1076923076923077,0.03076923076923077,0.5692307692307692,0.3384615384615385,0.28,0.23076923076923078
BW,meta-llama/llama-3.1-8b-instruct,0.022222222222222223,0.0,0.0,0.15555555555555556,0.0,0.0,0.03076923076923077,7.0,-0.12478632478632479
BW,openai/gpt-4o,0.08888888888888889,0.0851063829787234,0.06666666666666667,0.24444444444444444,0.044444444444444446,0.17777777777777778,0.2153846153846154,2.75,-0.02905982905982904
GSM,anthropic/claude-sonnet-4,0.8181818181818182,0.8409090909090909,0.6818181818181818,0.75,0.6818181818181818,0.8636363636363636,0.7916666666666666,0.9166666666666666,0.04166666666666663
GSM,google/gemini-2.5-flash,0.9090909090909091,0.8181818181818182,0.6363636363636364,0.5227272727272727,0.4772727272727273,0.6136363636363636,0.9583333333333334,0.575,0.43560606060606066
GSM,meta-llama/llama-3.1-8b-instruct,0.7727272727272727,0.7272727272727273,0.45454545454545453,0.4090909090909091,0.3181818181818182,0.25,0.625,0.5294117647058824,0.21590909090909088
GSM,openai/gpt-4o,0.8181818181818182,0.8181818181818182,0.5909090909090909,0.4772727272727273,0.4772727272727273,0.5454545454545454,0.7916666666666666,0.5833333333333334,0.31439393939393934
GSM,openai/o4-mini,0.8787878787878788,0.8636363636363636,0.8181818181818182,0.8409090909090909,0.6818181818181818,0.8863636363636364,0.8333333333333334,0.956896551724138,-0.007575757575757569
