family,slice,model,n,canonical,W3,R_W3
ALGO,coin_change-adversarial,Claude,10,0.7,0.6,0.8571428571428572
ALGO,coin_change-adversarial,GPT-4o,10,0.6,0.0,0.0
ALGO,coin_change-adversarial,Gemini,10,0.5,0.7,1.4
ALGO,coin_change-adversarial,Llama,10,0.2,0.0,0.0
ALGO,coin_change-standard,Claude,15,0.267,0.2,0.7490636704119851
ALGO,coin_change-standard,GPT-4o,15,0.267,0.067,0.250936329588015
ALGO,coin_change-standard,Gemini,15,0.26666666666666666,0.0,0.0
ALGO,shortest_path-adversarial,Claude,34,0.647,0.0,0.0
ALGO,shortest_path-adversarial,GPT-4o,34,0.412,0.265,0.6432038834951457
ALGO,shortest_path-adversarial,Gemini,34,0.6764705882352942,0.3235294117647059,0.4782608695652174
ALGO,shortest_path-adversarial,Llama,34,0.059,0.0,0.0
ALGO,shortest_path-standard,GPT-4o,21,0.714,0.429,0.6008403361344538
ALGO,shortest_path-standard,Gemini,21,0.6190476190476191,0.47619047619047616,0.7692307692307692
ALGO,shortest_path-standard,Llama,21,0.048,0.0,0.0
ALGO,wis-adversarial,Claude,17,0.353,0.0,0.0
ALGO,wis-adversarial,GPT-4o,17,0.353,0.0,0.0
ALGO,wis-adversarial,Gemini,17,0.35294117647058826,0.0,0.0
ALGO,wis-adversarial,Llama,17,0.059,0.059,1.0
ALGO,wis-standard,Claude,13,0.077,0.0,0.0
ALGO,wis-standard,GPT-4o,13,0.154,0.0,0.0
BW,-,Claude,65,0.154,0.138,0.8961038961038962
BW,-,GPT-4o,65,0.089,0.244,2.741573033707865
BW,-,Gemini,65,0.385,0.108,0.2805194805194805
BW,-,Llama,65,0.022,0.156,7.090909090909092
GSM,-,Claude,44,0.818,0.75,0.9168704156479218
GSM,-,GPT-4o,44,0.818,0.477,0.5831295843520783
GSM,-,Gemini,44,0.909,0.523,0.5753575357535754
GSM,-,Llama,44,0.773,0.409,0.5291073738680465
GSM,-,o4-mini,44,0.879,0.841,0.9567690557451649
