family,subtype,model,n,canonical,W1,W2,W3,W4,W5,W6
GSM,-,anthropic/claude-sonnet-4,44,0.818,0.841,0.682,0.75,0.682,0.864,0.792
GSM,-,meta-llama/llama-3.1-8b-instruct,44,0.773,0.727,0.455,0.409,0.318,0.25,0.625
GSM,-,openai/gpt-4o,44,0.818,0.818,0.591,0.477,0.477,0.545,0.792
ALGO,coin_change-adversarial,anthropic/claude-sonnet-4,10,0.7,0.7,0.7,0.6,0.8,,
ALGO,coin_change-adversarial,meta-llama/llama-3.1-8b-instruct,10,0.2,0.1,0.4,0.0,0.2,,
ALGO,coin_change-adversarial,openai/gpt-4o,10,0.6,0.4,0.6,0.0,0.5,,
ALGO,coin_change-standard,anthropic/claude-sonnet-4,15,0.267,0.467,0.067,0.2,0.667,,0.067
ALGO,coin_change-standard,meta-llama/llama-3.1-8b-instruct,15,0.0,0.067,0.067,0.0,0.0,,0.067
ALGO,coin_change-standard,openai/gpt-4o,15,0.267,0.4,0.0,0.067,0.867,,0.2
ALGO,shortest_path-adversarial,anthropic/claude-sonnet-4,34,0.647,0.618,0.676,0.0,0.824,0.0,0.258
ALGO,shortest_path-adversarial,meta-llama/llama-3.1-8b-instruct,34,0.059,0.147,0.029,0.0,0.088,0.0,0.065
ALGO,shortest_path-adversarial,openai/gpt-4o,34,0.412,0.529,0.147,0.265,0.588,0.0,0.258
ALGO,shortest_path-standard,anthropic/claude-sonnet-4,21,0.0,0.19,0.667,0.048,0.952,0.0,0.0
ALGO,shortest_path-standard,meta-llama/llama-3.1-8b-instruct,21,0.048,0.095,0.0,0.0,0.143,0.0,0.105
ALGO,shortest_path-standard,openai/gpt-4o,21,0.714,0.667,0.048,0.429,0.524,0.0,0.368
ALGO,wis-adversarial,anthropic/claude-sonnet-4,17,0.353,0.176,0.118,0.0,0.059,,0.0
ALGO,wis-adversarial,meta-llama/llama-3.1-8b-instruct,17,0.059,0.0,0.0,0.059,0.0,,0.0
ALGO,wis-adversarial,openai/gpt-4o,17,0.353,0.176,0.0,0.0,0.0,,0.0
ALGO,wis-standard,anthropic/claude-sonnet-4,13,0.077,0.231,0.231,0.0,0.077,,0.0
ALGO,wis-standard,meta-llama/llama-3.1-8b-instruct,13,0.0,0.0,0.0,0.077,0.0,,0.0
ALGO,wis-standard,openai/gpt-4o,13,0.154,0.231,0.0,0.0,0.0,,0.0
BW,-,anthropic/claude-sonnet-4,65,0.154,0.062,0.231,0.138,0.015,0.523,0.508
BW,-,meta-llama/llama-3.1-8b-instruct,65,0.022,0.0,0.0,0.156,0.0,0.0,0.031
BW,-,openai/gpt-4o,65,0.089,0.085,0.067,0.244,0.044,0.178,0.215
