family,model,canonical,n_canonical,W1,n_W1,W2,n_W2,W3,n_W3,W4,n_W4,W5,n_W5,W6,n_W6,W3_retention,W3_drop
ALGO,claude,0.364,110,0.409,110,0.455,110,0.091,110,0.618,110,0.0,50,0.1,90,0.25,0.273
ALGO,gemini,0.109,110,0.391,110,0.3,110,0.255,110,0.436,110,0.02,50,0.144,90,2.333,-0.145
ALGO,gpt4o,0.427,110,0.436,110,0.109,110,0.173,110,0.445,110,0.0,50,0.2,90,0.404,0.255
ALGO,llama,0.055,110,0.082,110,0.055,110,0.018,110,0.073,110,0.0,50,0.056,90,0.333,0.036
BW,claude,0.154,65,0.062,65,0.231,65,0.138,65,0.015,65,0.523,65,0.508,65,0.9,0.015
BW,gemini,0.385,65,0.138,65,0.108,65,0.108,65,0.031,65,0.569,65,0.338,65,0.28,0.277
BW,gpt4o,0.089,45,0.085,47,0.067,45,0.244,45,0.044,45,0.178,45,0.215,65,2.75,-0.156
BW,llama,0.022,45,0.0,47,0.0,45,0.156,45,0.0,45,0.0,45,0.031,65,7.0,-0.133
GSM,claude,0.818,44,0.841,44,0.682,44,0.75,44,0.682,44,0.864,44,0.792,24,0.917,0.068
GSM,gemini,0.909,44,0.818,44,0.636,44,0.523,44,0.477,44,0.614,44,0.958,24,0.575,0.386
GSM,gpt4o,0.818,44,0.818,44,0.591,44,0.477,44,0.477,44,0.545,44,0.792,24,0.583,0.341
GSM,llama,0.773,44,0.727,44,0.455,44,0.409,44,0.318,44,0.25,44,0.625,24,0.529,0.364
GSM,o4mini,0.879,33,0.864,44,0.818,44,0.841,44,0.682,44,0.886,44,0.833,24,0.957,0.038
