family,subtype,model,n_instances,CCI_mean,CCI_ci_lower,CCI_ci_upper,TEP_mean,TEP_ci_lower,TEP_ci_upper,ADC_precision,ADC_recall,status
ALGO,coin_change,anthropic/claude-3.7-sonnet,,0.1666666666666666,0.0333333333333333,0.3,,,,1.0,,complete
ALGO,coin_change,meta-llama/llama-3.1-8b-instruct,,0.2333333333333333,0.0666666666666666,0.4,1.0,1.0,1.0,1.0,,complete
ALGO,coin_change,openai/gpt-4o,,0.3666666666666666,0.2333333333333333,0.5,0.0,0.0,0.0,1.0,,complete
ALGO,shortest_path,anthropic/claude-3.7-sonnet,,0.2222222222222222,0.0,0.3333333333333333,,,,1.0,0.0,complete
ALGO,shortest_path,meta-llama/llama-3.1-8b-instruct,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,complete
ALGO,shortest_path,openai/gpt-4o,,0.1111111111111111,0.0,0.3333333333333333,0.611111111111111,0.3333333333333333,1.0,1.0,0.0,complete
ALGO,wis,anthropic/claude-3.7-sonnet,,0.1666666666666666,0.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.0,complete
ALGO,wis,meta-llama/llama-3.1-8b-instruct,,0.5,0.3333333333333333,0.6666666666666666,,,,1.0,0.0,complete
ALGO,wis,openai/gpt-4o,,0.0,0.0,0.0,,,,1.0,0.0,complete
BW,blocksworld,anthropic/claude-3.7-sonnet,15.0,0.0,0.0,0.0,,,,,,non-computable: irrecoverable loop
BW,blocksworld,meta-llama/llama-3.1-8b-instruct,15.0,0.12026999999999999,0.04777,0.21777000000000002,,,,,,non-computable: irrecoverable loop
BW,blocksworld,openai/gpt-4o,15.0,0.0,0.0,0.0,,,,,,non-computable: irrecoverable loop
GSM,high,anthropic/claude-3.7-sonnet,9.0,0.3727513227513227,0.20493827160493827,0.5493827160493826,0.4444444444444444,0.1111111111111111,0.7777777777777778,,,complete
GSM,high,meta-llama/llama-3.1-8b-instruct,9.0,0.21340388007054673,0.12962962962962962,0.3059964726631393,0.28148148148148144,0.10185185185185183,0.47962962962962963,,,complete
GSM,high,openai/gpt-4o,9.0,0.36005291005291007,0.17394179894179893,0.5584722222222221,0.1111111111111111,0.0,0.3333333333333333,,,complete
GSM,medium,anthropic/claude-3.7-sonnet,11.0,0.33168044077134984,0.22837465564738288,0.44435606060606053,0.22727272727272727,0.0,0.5,,,complete
GSM,medium,meta-llama/llama-3.1-8b-instruct,11.0,0.18434343434343434,0.09343434343434341,0.28787878787878785,0.14444444444444443,0.02727272727272727,0.2818181818181818,,,complete
GSM,medium,openai/gpt-4o,11.0,0.2492424242424242,0.10075757575757577,0.43560606060606055,0.09090909090909091,0.0,0.2727272727272727,,,complete
