model,task,canon,w3,ret
claude,GSM,0.8182,0.75,0.9167
llama,GSM,0.7727,0.4091,0.5294
gpt4o,GSM,0.8182,0.4773,0.5833
claude,ALGO-coin_change,0.7,0.6,0.8571
llama,ALGO-coin_change,0.2,0.0,0.0
gpt4o,ALGO-coin_change,0.6,0.0,0.0
claude,ALGO-shortest_path,0.6471,0.0,0.0
llama,ALGO-shortest_path,0.0588,0.0,0.0
gpt4o,ALGO-shortest_path,0.4118,0.2647,0.6429
claude,ALGO-wis,0.3529,0.0,0.0
llama,ALGO-wis,0.0588,0.0588,1.0
gpt4o,ALGO-wis,0.3529,0.0,0.0
gemini,GSM,0.9091,0.5227,0.575
gemini,ALGO-coin_change,0.5,0.7,1.4
gemini,ALGO-shortest_path,0.0588,0.3235,5.5
gemini,ALGO-wis,0.0,0.0,
o4-mini,GSM,0.8788,0.8409,0.9569
