problem_id,problem_family,variant_type,model,crystallization_layer,n_layers_processed,layer_cosine_similarities
BW_155,planning_suite,canonical,Qwen/Qwen2.5-0.5B-Instruct,-1,24,"[0.672, 0.7984, 0.7672, 0.7144, 0.6873, 0.6958, 0.7037, 0.7265, 0.7084, 0.7037, 0.7015, 0.6901, 0.6995, 0.7119, 0.6981, 0.6849, 0.6704, 0.6962, 0.6965, 0.6569, 0.7309, 0.7847, 0.7926, 0.5373]"
BW_010,planning_suite,canonical,Qwen/Qwen2.5-0.5B-Instruct,-1,24,"[0.6727, 0.7996, 0.769, 0.7153, 0.687, 0.6959, 0.7051, 0.7268, 0.7085, 0.7032, 0.7011, 0.6906, 0.6996, 0.7117, 0.6962, 0.6821, 0.668, 0.6955, 0.6981, 0.6567, 0.7279, 0.7809, 0.785, 0.5264]"
BW_001,planning_suite,canonical,Qwen/Qwen2.5-0.5B-Instruct,-1,24,"[0.67, 0.8012, 0.7741, 0.7003, 0.67, 0.6798, 0.693, 0.7172, 0.6993, 0.6928, 0.6921, 0.683, 0.6928, 0.7041, 0.6946, 0.6845, 0.671, 0.6976, 0.6998, 0.6601, 0.7347, 0.7851, 0.7924, 0.5395]"
BW_011,planning_suite,canonical,Qwen/Qwen2.5-0.5B-Instruct,-1,24,"[0.6691, 0.7998, 0.7716, 0.7023, 0.67, 0.6795, 0.6925, 0.7171, 0.6989, 0.6927, 0.6928, 0.6827, 0.6926, 0.7035, 0.6934, 0.6838, 0.6717, 0.6984, 0.7022, 0.662, 0.7388, 0.7865, 0.7944, 0.5312]"
BW_120,planning_suite,canonical,Qwen/Qwen2.5-0.5B-Instruct,-1,24,"[0.6718, 0.7984, 0.7702, 0.7076, 0.6805, 0.6901, 0.701, 0.7225, 0.7037, 0.6991, 0.6965, 0.686, 0.6956, 0.7081, 0.6954, 0.6851, 0.6735, 0.7021, 0.704, 0.666, 0.7376, 0.7903, 0.7983, 0.5453]"
BW_227,planning_suite,canonical,Qwen/Qwen2.5-0.5B-Instruct,-1,24,"[0.6699, 0.8, 0.7718, 0.7047, 0.6741, 0.6824, 0.6931, 0.7175, 0.6993, 0.6938, 0.6933, 0.684, 0.6928, 0.7029, 0.6916, 0.6816, 0.6698, 0.6982, 0.705, 0.6665, 0.7416, 0.788, 0.7927, 0.536]"
BW_137,planning_suite,canonical,Qwen/Qwen2.5-0.5B-Instruct,-1,24,"[0.6696, 0.7993, 0.7731, 0.7027, 0.6723, 0.6817, 0.6939, 0.7195, 0.7017, 0.6959, 0.6965, 0.6855, 0.695, 0.7042, 0.6913, 0.6763, 0.663, 0.6876, 0.6902, 0.6454, 0.7243, 0.7739, 0.7794, 0.5042]"
BW_172,planning_suite,canonical,Qwen/Qwen2.5-0.5B-Instruct,-1,24,"[0.6693, 0.7991, 0.7727, 0.7007, 0.6695, 0.6802, 0.6926, 0.7179, 0.7002, 0.6942, 0.6943, 0.6834, 0.6937, 0.7033, 0.6923, 0.6784, 0.6649, 0.6901, 0.6924, 0.6495, 0.7287, 0.78, 0.7863, 0.5177]"
BW_467,planning_suite,canonical,Qwen/Qwen2.5-0.5B-Instruct,-1,24,"[0.6705, 0.8, 0.7727, 0.7033, 0.6753, 0.6868, 0.6974, 0.7209, 0.703, 0.6972, 0.6961, 0.6863, 0.6954, 0.7066, 0.6945, 0.681, 0.6665, 0.6934, 0.695, 0.6512, 0.7253, 0.7789, 0.7871, 0.5276]"
BW_080,planning_suite,canonical,Qwen/Qwen2.5-0.5B-Instruct,-1,24,"[0.6709, 0.7989, 0.7707, 0.7075, 0.673, 0.6856, 0.7003, 0.7229, 0.7042, 0.6987, 0.6981, 0.6868, 0.695, 0.7096, 0.6972, 0.686, 0.6711, 0.697, 0.6978, 0.6555, 0.7268, 0.7812, 0.7896, 0.5314]"
BW_E002,planning_suite,canonical,Qwen/Qwen2.5-0.5B-Instruct,-1,24,"[0.5209, 0.7319, 0.6824, 0.631, 0.5854, 0.6196, 0.6122, 0.6336, 0.6229, 0.6254, 0.6386, 0.6061, 0.6255, 0.6388, 0.6053, 0.5544, 0.4967, 0.5319, 0.5475, 0.4638, 0.5489, 0.6362, 0.6633, 0.1408]"
