problem_id,problem_family,variant_type,model,crystallization_layer,n_layers_processed,layer_cosine_similarities,target_rank_per_layer,target_logprob_per_layer,target_token_id,target_token_decoded
GSM_001,arithmetic_reasoning,canonical,Qwen/Qwen2.5-7B,-1,28,"[0.9584, 0.9636, 0.9607, 0.9381, 0.9208, 0.9026, 0.8891, 0.8679, 0.8478, 0.87, 0.868, 0.8644, 0.8566, 0.838, 0.8199, 0.8161, 0.7753, 0.7916, 0.7797, 0.8112, 0.8174, 0.8256, 0.8217, 0.8305, 0.8582, 0.8637, 0.8704, 0.8464]","[151625, 151849, 151855, 151791, 151639, 151924, 151916, 151864, 151776, 151937, 151972, 151953, 151895, 151942, 151924, 151921, 151858, 151850, 151887, 151915, 151951, 151876, 151911, 151914, 151951, 151954, 151897, 44181]","[-12.6103, -13.4452, -13.9219, -13.289, -13.3904, -14.5308, -15.0739, -14.8988, -15.9036, -17.2956, -17.9623, -18.6264, -18.2062, -19.0615, -20.2191, -21.2463, -20.8456, -23.9731, -26.2593, -37.2384, -45.5803, -55.7153, -76.12, -91.9993, -126.2133, -147.7018, -173.3989, -41.7222]",20,5
GSM_002,arithmetic_reasoning,canonical,Qwen/Qwen2.5-7B,-1,28,"[0.9635, 0.9691, 0.9651, 0.9523, 0.94, 0.9262, 0.9152, 0.8963, 0.8745, 0.8855, 0.889, 0.8847, 0.8797, 0.8629, 0.8491, 0.8425, 0.8087, 0.8146, 0.8027, 0.8261, 0.8397, 0.8518, 0.8452, 0.8438, 0.8689, 0.8667, 0.88, 0.881]","[151593, 151875, 151897, 151922, 151912, 151984, 151966, 151947, 151929, 152010, 152034, 152013, 152005, 152010, 152007, 151988, 151963, 151937, 151926, 151966, 151989, 151947, 151950, 151961, 151999, 151974, 151952, 11818]","[-12.5953, -13.4224, -13.9505, -13.398, -13.6724, -14.8052, -15.4796, -15.0458, -16.0236, -17.3129, -18.8984, -19.0948, -19.3797, -20.1035, -21.6639, -21.9143, -21.4553, -24.2922, -25.1374, -34.0096, -43.0602, -53.7475, -69.3338, -86.9904, -118.8681, -136.6611, -166.7752, -30.4829]",18,3
GSM_003,arithmetic_reasoning,canonical,Qwen/Qwen2.5-7B,-1,28,"[0.9573, 0.9618, 0.9593, 0.9455, 0.9356, 0.9256, 0.9215, 0.9061, 0.892, 0.9092, 0.9046, 0.9025, 0.9, 0.8844, 0.8749, 0.8744, 0.8495, 0.8501, 0.8437, 0.8619, 0.8784, 0.8862, 0.8818, 0.8915, 0.905, 0.9055, 0.9085, 0.9256]","[151938, 152017, 152015, 152027, 152026, 152046, 152039, 152038, 152041, 152053, 152053, 152051, 152047, 152048, 152041, 152038, 152033, 152031, 152030, 152036, 152036, 152025, 152018, 152025, 152033, 152024, 152003, 308]","[-12.7125, -13.7817, -14.3803, -13.7962, -14.0525, -15.4386, -16.1814, -15.7466, -17.0769, -18.7616, -19.4833, -20.6546, -20.6993, -21.1534, -22.3687, -23.3356, -23.1374, -25.9501, -28.3214, -37.8477, -45.6411, -58.2057, -71.466, -94.9861, -129.2211, -147.2146, -171.9114, -21.1853]",16,1
GSM_004,arithmetic_reasoning,canonical,Qwen/Qwen2.5-7B,-1,28,"[0.9613, 0.9638, 0.9618, 0.9415, 0.9258, 0.9063, 0.8957, 0.8669, 0.8333, 0.8559, 0.8577, 0.8553, 0.8451, 0.8255, 0.8163, 0.7989, 0.7457, 0.756, 0.7388, 0.7799, 0.7933, 0.8098, 0.7894, 0.7992, 0.8317, 0.837, 0.844, 0.7908]","[151993, 152016, 152004, 152030, 152021, 152038, 152023, 152026, 152028, 152041, 152044, 152034, 152031, 152035, 152034, 152034, 152028, 152029, 152029, 152033, 152034, 152030, 152030, 152029, 152038, 152031, 152023, 520]","[-12.7742, -13.8864, -14.3486, -13.7856, -14.0615, -15.4879, -16.0357, -15.6076, -17.1402, -18.4795, -19.3805, -20.3611, -20.8558, -21.7818, -23.2461, -23.7288, -24.2152, -27.0772, -29.1934, -37.5012, -46.0485, -59.4387, -77.216, -90.5329, -121.9328, -142.7453, -178.0073, -20.8478]",17,2
GSM_005,arithmetic_reasoning,canonical,Qwen/Qwen2.5-7B,-1,28,"[0.9581, 0.9598, 0.9571, 0.9373, 0.921, 0.9015, 0.8884, 0.8705, 0.8522, 0.8739, 0.8768, 0.8751, 0.8675, 0.8578, 0.8508, 0.835, 0.7901, 0.7847, 0.7647, 0.787, 0.794, 0.8073, 0.8056, 0.8142, 0.8404, 0.8414, 0.8554, 0.8536]","[151445, 151834, 151847, 151866, 151856, 151946, 151917, 151848, 151611, 151916, 151969, 151943, 151877, 151898, 151928, 151918, 151834, 151840, 151846, 151805, 151869, 151797, 151842, 151844, 151908, 151893, 151855, 4737]","[-12.551, -13.3726, -13.8533, -13.3365, -13.5293, -14.6659, -15.0692, -14.6989, -15.386, -16.5665, -17.3968, -18.8146, -18.7974, -19.1416, -20.1421, -20.5015, -20.2837, -22.9116, -23.707, -28.8442, -34.8476, -44.2002, -62.8294, -75.9606, -109.3716, -126.7044, -157.1585, -26.3733]",20,5
GSM_006,arithmetic_reasoning,canonical,Qwen/Qwen2.5-7B,-1,28,"[0.9601, 0.9621, 0.9615, 0.9453, 0.9321, 0.9234, 0.9184, 0.9027, 0.8808, 0.8854, 0.8849, 0.8846, 0.8774, 0.8644, 0.8444, 0.8394, 0.7997, 0.8093, 0.7963, 0.828, 0.8446, 0.8613, 0.8561, 0.8608, 0.8839, 0.8904, 0.8818, 0.8527]","[151387, 151773, 151800, 151696, 151620, 151935, 151929, 151906, 151797, 151921, 151961, 151951, 151929, 151949, 151950, 151949, 151895, 151901, 151925, 151934, 151952, 151896, 151907, 151919, 151935, 151916, 151869, 117211]","[-12.5526, -13.3323, -13.7835, -13.2134, -13.3896, -14.7212, -15.4611, -15.0954, -16.0064, -16.8106, -18.2013, -19.4432, -19.2963, -19.8945, -22.3979, -23.1796, -22.8434, -25.8023, -28.1987, -37.4167, -48.4486, -60.6632, -79.8468, -96.1743, -131.4066, -161.384, -185.738, -104.6887]",20,5
GSM_007,arithmetic_reasoning,canonical,Qwen/Qwen2.5-7B,-1,28,"[0.9602, 0.9645, 0.9626, 0.9473, 0.9386, 0.9153, 0.9033, 0.883, 0.8542, 0.8784, 0.8777, 0.874, 0.8609, 0.8362, 0.8172, 0.8003, 0.7479, 0.7521, 0.7475, 0.7993, 0.8148, 0.8284, 0.8124, 0.8167, 0.8377, 0.843, 0.8571, 0.8696]","[151550, 151885, 151882, 151833, 151899, 151995, 151964, 151960, 151938, 152015, 152030, 152008, 152001, 152005, 152005, 151991, 151969, 151962, 151958, 151986, 151987, 151955, 151994, 151995, 152021, 152010, 151984, 25472]","[-12.5903, -13.5594, -13.9785, -13.2694, -13.5608, -14.8638, -15.3634, -15.1539, -16.3443, -17.96, -19.0129, -19.833, -19.3188, -19.9587, -20.9484, -21.8354, -21.1529, -23.373, -24.7854, -35.0763, -43.0969, -54.5663, -71.4538, -84.9773, -119.1849, -139.1399, -179.7291, -33.7652]",18,3
GSM_008,arithmetic_reasoning,canonical,Qwen/Qwen2.5-7B,-1,28,"[0.959, 0.9647, 0.9616, 0.9441, 0.9302, 0.92, 0.911, 0.8909, 0.87, 0.8788, 0.8767, 0.8714, 0.8611, 0.8363, 0.8199, 0.8136, 0.7617, 0.777, 0.7725, 0.8162, 0.8314, 0.8458, 0.832, 0.8386, 0.8615, 0.8639, 0.8767, 0.8829]","[151915, 152016, 152007, 152027, 152024, 152043, 152039, 152039, 152042, 152055, 152056, 152049, 152048, 152048, 152042, 152041, 152035, 152035, 152038, 152044, 152045, 152041, 152044, 152042, 152046, 152043, 152032, 105274]","[-12.7153, -13.9236, -14.449, -13.8897, -14.0847, -15.3348, -16.2428, -15.8248, -17.4119, -19.3491, -19.9531, -21.0148, -20.2603, -21.0365, -23.4809, -25.4315, -25.5679, -28.2568, -31.4373, -47.1663, -58.4236, -72.4544, -90.521, -113.3208, -149.5662, -176.1493, -202.3085, -68.325]",16,1
GSM_009,arithmetic_reasoning,canonical,Qwen/Qwen2.5-7B,-1,28,"[0.9518, 0.9569, 0.9568, 0.9418, 0.9334, 0.9192, 0.905, 0.8833, 0.861, 0.8783, 0.8741, 0.8675, 0.8618, 0.8394, 0.8243, 0.8145, 0.7675, 0.7782, 0.7688, 0.8097, 0.8261, 0.84, 0.8349, 0.8408, 0.8651, 0.8684, 0.8779, 0.8811]","[151474, 151847, 151847, 151713, 151556, 151861, 151747, 151571, 151725, 151944, 152001, 151952, 151933, 151965, 151935, 151929, 151902, 151914, 151937, 151932, 151943, 151919, 151943, 151954, 151990, 151980, 151930, 99786]","[-12.5816, -13.4687, -13.9745, -13.2861, -13.4395, -14.3629, -14.7957, -14.315, -15.6406, -17.0238, -18.2919, -18.3521, -18.5336, -19.6232, -20.4415, -21.6211, -21.3745, -23.9199, -26.8357, -39.3147, -48.9631, -61.6312, -79.5743, -97.8042, -129.3751, -151.7954, -188.5192, -57.9223]",19,4
GSM_010,arithmetic_reasoning,canonical,Qwen/Qwen2.5-7B,-1,28,"[0.9601, 0.9631, 0.9642, 0.9459, 0.9275, 0.9191, 0.9071, 0.8882, 0.8682, 0.886, 0.8889, 0.8903, 0.8837, 0.8755, 0.8633, 0.8508, 0.8083, 0.7996, 0.7871, 0.8018, 0.8101, 0.8135, 0.812, 0.8119, 0.8457, 0.8453, 0.8626, 0.8477]","[151141, 151634, 151659, 150958, 149463, 151748, 151544, 151638, 151642, 151913, 151933, 151901, 151846, 151874, 151883, 151853, 151775, 151825, 151668, 151670, 151764, 151562, 151705, 151735, 151818, 151772, 151761, 509]","[-12.5017, -13.1618, -13.6205, -13.1061, -13.0974, -14.2215, -14.5686, -14.3912, -15.4006, -16.2087, -16.7635, -18.0807, -18.6761, -18.6351, -19.3621, -19.4313, -19.243, -21.4895, -20.6135, -23.9686, -30.107, -38.4183, -52.7133, -63.199, -92.9681, -109.3692, -152.0583, -19.7674]",23,8
