problem_id,problem_family,variant_type,model,crystallization_layer,n_layers_processed,layer_cosine_similarities,target_rank_per_layer,target_logprob_per_layer,target_token_id,target_token_decoded
GSM_001,arithmetic_reasoning,canonical,Qwen/Qwen2.5-7B-Instruct,-1,28,"[0.977, 0.9772, 0.9738, 0.967, 0.9659, 0.9637, 0.9586, 0.9551, 0.9435, 0.9564, 0.9505, 0.9498, 0.9487, 0.953, 0.9629, 0.9561, 0.946, 0.9412, 0.9316, 0.9252, 0.9069, 0.8873, 0.8549, 0.8153, 0.8328, 0.8682, 0.8771, 0.8112]","[151683, 151871, 151890, 151934, 151946, 151940, 151898, 151918, 151925, 151917, 151925, 151886, 151816, 151767, 151855, 151744, 151870, 151828, 151728, 151905, 151983, 151958, 151941, 151936, 151887, 151827, 151722, 38332]","[-12.547, -13.1647, -13.7087, -13.7813, -14.1435, -15.6576, -15.6928, -16.2305, -15.7646, -17.4243, -17.9459, -17.7453, -17.5012, -18.2868, -22.3973, -20.3888, -20.4148, -21.7852, -20.9464, -25.0277, -27.3817, -32.3911, -39.2539, -55.4102, -79.0965, -129.5916, -137.2112, -60.6038]",20,5
GSM_002,arithmetic_reasoning,canonical,Qwen/Qwen2.5-7B-Instruct,-1,28,"[0.9818, 0.9839, 0.98, 0.9743, 0.9712, 0.9706, 0.9675, 0.9641, 0.9528, 0.9631, 0.9607, 0.958, 0.9586, 0.9648, 0.9695, 0.9628, 0.953, 0.9491, 0.9407, 0.9363, 0.9214, 0.9149, 0.9002, 0.8961, 0.9094, 0.9236, 0.9207, 0.8598]","[151930, 151981, 151984, 151990, 151992, 152015, 151989, 152008, 151995, 152006, 152011, 151981, 151921, 151917, 151951, 151940, 151945, 151922, 151892, 151964, 152004, 152006, 152005, 151995, 151992, 151906, 151756, 10151]","[-12.6594, -13.3874, -13.9279, -13.901, -14.4451, -16.0547, -16.2132, -16.9446, -16.2497, -17.7971, -18.4203, -18.1879, -18.237, -19.1285, -22.9243, -21.2698, -21.312, -22.1916, -21.7533, -24.4062, -26.9434, -38.6884, -46.1539, -54.7265, -90.1354, -132.4901, -139.071, -28.4395]",18,3
GSM_003,arithmetic_reasoning,canonical,Qwen/Qwen2.5-7B-Instruct,-1,28,"[0.9729, 0.9791, 0.9752, 0.9695, 0.9702, 0.9699, 0.9689, 0.9712, 0.9651, 0.9745, 0.9727, 0.9718, 0.9735, 0.9783, 0.9833, 0.9799, 0.9771, 0.9766, 0.9688, 0.9599, 0.9506, 0.947, 0.9304, 0.9151, 0.9075, 0.9256, 0.9265, 0.8817]","[152034, 152045, 152045, 152049, 152045, 152043, 152037, 152037, 152031, 152038, 152038, 152033, 152026, 152018, 152029, 152014, 152021, 152021, 151995, 152028, 152046, 152045, 152038, 152043, 152044, 152016, 151905, 33567]","[-12.8247, -13.7377, -14.4081, -14.4089, -14.9499, -16.6421, -16.7127, -17.5176, -16.7609, -18.6995, -19.2767, -19.3582, -19.1759, -19.846, -24.6236, -22.176, -22.0613, -23.7086, -22.8493, -25.2056, -30.278, -42.1433, -45.0003, -66.1138, -89.6865, -127.2211, -141.8917, -49.5767]",16,1
GSM_004,arithmetic_reasoning,canonical,Qwen/Qwen2.5-7B-Instruct,-1,28,"[0.9705, 0.9728, 0.9713, 0.9646, 0.9616, 0.9641, 0.9596, 0.9577, 0.9461, 0.9583, 0.9504, 0.9497, 0.9496, 0.9554, 0.9649, 0.9574, 0.948, 0.9448, 0.9413, 0.939, 0.9296, 0.9094, 0.8837, 0.8461, 0.8103, 0.8267, 0.8241, 0.7418]","[152013, 152034, 152028, 152038, 152034, 152034, 152022, 152035, 152027, 152030, 152026, 152020, 151999, 152012, 152021, 152015, 152009, 152014, 151994, 152023, 152031, 152043, 152020, 152037, 152041, 151998, 151938, 5012]","[-12.7484, -13.6102, -14.2076, -14.1699, -14.6982, -16.4396, -16.5052, -17.243, -16.5897, -18.1959, -18.8838, -18.6366, -18.7613, -19.9397, -24.2986, -22.1877, -21.622, -23.3436, -22.849, -27.3312, -31.7313, -33.7724, -34.0415, -36.3656, -64.0698, -116.5674, -137.7117, -26.108]",17,2
GSM_005,arithmetic_reasoning,canonical,Qwen/Qwen2.5-7B-Instruct,-1,28,"[0.9735, 0.9717, 0.9711, 0.9648, 0.9609, 0.9613, 0.9553, 0.9548, 0.9418, 0.9573, 0.9488, 0.9487, 0.9498, 0.9524, 0.9638, 0.9557, 0.9461, 0.9454, 0.9397, 0.9276, 0.9131, 0.8691, 0.8278, 0.8161, 0.8104, 0.8332, 0.851, 0.8197]","[151494, 151855, 151859, 151914, 151941, 151937, 151896, 151926, 151923, 151907, 151899, 151877, 151800, 151740, 151844, 151758, 151800, 151750, 151748, 151867, 151881, 151905, 151638, 151878, 151805, 151650, 151119, 65556]","[-12.4926, -13.1482, -13.6608, -13.7204, -14.1721, -15.6212, -15.5891, -16.2973, -15.7698, -16.891, -17.4249, -17.4236, -17.3614, -17.9111, -22.4966, -20.5703, -20.2941, -21.3259, -21.2433, -24.0376, -25.7215, -28.9706, -29.4375, -44.9377, -64.7474, -102.3064, -116.596, -83.1483]",20,5
GSM_006,arithmetic_reasoning,canonical,Qwen/Qwen2.5-7B-Instruct,-1,28,"[0.9803, 0.9803, 0.978, 0.9739, 0.9714, 0.9715, 0.9683, 0.9672, 0.9586, 0.9675, 0.9646, 0.965, 0.9654, 0.9658, 0.9704, 0.9635, 0.9538, 0.9512, 0.9481, 0.9386, 0.9273, 0.8919, 0.8623, 0.8419, 0.8468, 0.8797, 0.8686, 0.8015]","[151587, 151845, 151858, 151904, 151923, 151930, 151878, 151905, 151879, 151891, 151904, 151875, 151777, 151741, 151843, 151738, 151846, 151814, 151781, 151835, 151957, 151955, 151909, 151348, 151823, 151752, 151573, 39294]","[-12.5175, -13.1445, -13.6567, -13.7026, -14.0626, -15.5998, -15.6536, -16.2843, -15.7203, -17.0668, -17.6482, -17.5922, -17.2339, -18.3237, -22.6019, -20.6663, -20.9563, -21.9012, -21.3706, -23.468, -26.1782, -34.6932, -41.5167, -47.7741, -82.5757, -135.9061, -139.2443, -66.6406]",20,5
GSM_007,arithmetic_reasoning,canonical,Qwen/Qwen2.5-7B-Instruct,-1,28,"[0.9767, 0.9788, 0.9758, 0.9673, 0.9657, 0.9638, 0.9616, 0.9606, 0.9501, 0.9627, 0.9578, 0.9594, 0.9584, 0.9627, 0.9675, 0.9605, 0.9517, 0.9485, 0.9372, 0.928, 0.9165, 0.9021, 0.8808, 0.8396, 0.8369, 0.8733, 0.8705, 0.829]","[151912, 151981, 151977, 151993, 151994, 152012, 151988, 152000, 151994, 152007, 152009, 151981, 151921, 151928, 151957, 151947, 151941, 151910, 151907, 151957, 151962, 152002, 151995, 151954, 152009, 151917, 151740, 89095]","[-12.6208, -13.4069, -13.9172, -13.8638, -14.395, -16.1151, -16.0526, -16.7819, -16.2293, -18.0145, -18.461, -18.6154, -18.1571, -19.4276, -23.6411, -21.9098, -21.3317, -22.5027, -22.2597, -24.5973, -29.5473, -41.6006, -47.1068, -51.12, -79.5111, -121.4348, -120.4466, -77.0268]",18,3
GSM_008,arithmetic_reasoning,canonical,Qwen/Qwen2.5-7B-Instruct,-1,28,"[0.9775, 0.9808, 0.9774, 0.9709, 0.9677, 0.9685, 0.967, 0.9648, 0.9568, 0.9658, 0.9629, 0.9619, 0.9608, 0.9639, 0.9698, 0.9637, 0.9564, 0.9541, 0.9517, 0.9492, 0.945, 0.9353, 0.9219, 0.8973, 0.8586, 0.8502, 0.8415, 0.7946]","[152033, 152041, 152045, 152047, 152044, 152042, 152035, 152038, 152031, 152040, 152038, 152034, 152026, 152021, 152030, 152015, 152023, 152025, 151995, 152033, 152035, 152041, 152024, 151963, 151998, 152011, 151642, 40]","[-12.8202, -13.6596, -14.3651, -14.4481, -14.8982, -16.5442, -16.7992, -17.5588, -16.7944, -18.79, -19.2758, -19.4237, -19.223, -20.608, -24.855, -22.5071, -22.5904, -24.1445, -22.897, -28.712, -30.1438, -35.7119, -32.8574, -28.649, -41.2562, -92.3298, -87.2658, -9.9833]",16,1
GSM_009,arithmetic_reasoning,canonical,Qwen/Qwen2.5-7B-Instruct,-1,28,"[0.9758, 0.9782, 0.976, 0.967, 0.9668, 0.968, 0.9655, 0.9638, 0.9562, 0.9646, 0.9582, 0.9571, 0.9555, 0.9579, 0.9652, 0.9585, 0.9477, 0.9438, 0.9424, 0.9394, 0.933, 0.9077, 0.8778, 0.8245, 0.8283, 0.8725, 0.8649, 0.8275]","[151866, 151926, 151899, 151919, 151924, 151898, 151857, 151898, 151897, 151916, 151914, 151868, 151806, 151760, 151829, 151732, 151787, 151738, 151729, 151783, 151908, 151963, 151856, 151964, 151938, 151885, 151743, 54470]","[-12.6062, -13.2883, -13.7908, -13.7259, -14.1889, -15.4926, -15.6002, -16.2347, -15.7432, -17.073, -17.5908, -17.4536, -17.4662, -18.165, -21.9272, -20.1793, -19.9829, -21.0432, -20.1806, -22.1438, -25.3126, -27.2776, -33.0347, -42.5943, -77.1444, -137.4571, -133.086, -84.4582]",19,4
GSM_010,arithmetic_reasoning,canonical,Qwen/Qwen2.5-7B-Instruct,-1,28,"[0.9766, 0.9769, 0.9754, 0.9692, 0.9691, 0.9699, 0.9642, 0.962, 0.9501, 0.9616, 0.957, 0.9562, 0.9542, 0.9565, 0.9663, 0.9591, 0.9514, 0.9506, 0.9425, 0.9315, 0.9217, 0.9045, 0.8888, 0.8819, 0.8768, 0.8844, 0.8857, 0.8375]","[151636, 151822, 151819, 151830, 151809, 151790, 151670, 151792, 151802, 151885, 151809, 151770, 151672, 151583, 151657, 151599, 151666, 151662, 151155, 151732, 151816, 151732, 151497, 151356, 151663, 151445, 150250, 49072]","[-12.5021, -13.1696, -13.6375, -13.5334, -13.9132, -15.2501, -15.152, -15.92, -15.4414, -16.813, -17.1364, -17.0354, -17.3098, -17.7193, -21.462, -19.9613, -19.7406, -20.8006, -19.6744, -22.1561, -25.8777, -30.3721, -39.1157, -49.3028, -73.3391, -105.9476, -120.4636, -74.4499]",23,8
